split,task,seed,layer,real_paraphrase_distance,real_semantic_distance,real_irrelevant_distance,real_semantic_margin,real_semantic_ratio,mismatch_paraphrase_distance,mismatch_semantic_distance,mismatch_irrelevant_distance,mismatch_semantic_margin,grounded_semantic_margin,real_visual_attention_mass
exploration,move_near,31,10,0.060411403887810404,0.11180286306035365,0.05002968706814628,0.05107024900481518,1.852179815149932,0.04323866131190229,0.08897984961006555,0.03175209916298171,0.04382486767886284,0.007245381325952339,0.14293042445766937
exploration,move_near,31,11,0.07047786089129564,0.1862527071069625,0.0341405005097497,0.11577484621566687,2.696320112973902,0.07043940881311067,0.1248695679712954,0.03986770748476368,0.054430159158184756,0.06134468705748211,0.20217611373057784
exploration,move_near,31,12,0.035116341605958806,0.09312754042594062,0.02803556732433092,0.05801119881998181,2.634835063935989,0.04345550976861451,0.08728843172763384,0.02745804812764839,0.043832921959019326,0.014178276860962478,0.2533856222610969
exploration,move_near,31,13,0.03995430358855267,0.10678175924993037,0.0367665316421498,0.06480016839515321,2.5484580927231524,0.0486101287126963,0.06238485116970164,0.028995256411177645,0.013774722457005346,0.05102544593814786,0.1550808453320466
exploration,move_near,31,14,0.04954420843119802,0.12407051280420552,0.04975165826917599,0.07176094409273766,2.2634612300949106,0.05777708216204571,0.10140544776931754,0.033580275282021836,0.04362836560727184,0.028132578485465826,0.3543987450332982
exploration,move_near,31,15,0.037749130066585486,0.08138303972256107,0.03278688323480384,0.04309814024448727,2.118301766129969,0.04202871920356391,0.0714768470382358,0.034134136863001124,0.029389390332613924,0.013708749911873354,0.27674382261110014
exploration,move_near,31,16,0.03639962552035841,0.09104915139045365,0.031826513618833034,0.054542866140555785,2.486804319481209,0.03755217759590677,0.06026036336453259,0.03334738073362332,0.022708185768625818,0.03183468037192996,0.1279541282647377
exploration,move_near,31,17,0.03738863325426534,0.09256485934462445,0.028396640195120445,0.05516237592505827,2.4808371096456767,0.05425558298501157,0.06873818828824403,0.03771019969669037,0.01448260530323247,0.04067977062182581,0.2146382477797412
exploration,move_near,31,18,0.06140138719252473,0.08161653707484401,0.04317306000970786,0.02021514988231928,1.3462158131114084,0.05649472464783539,0.05871180597071646,0.03812438139365487,0.002217081322881058,0.01799806855943822,0.09466613533487589
exploration,move_near,31,19,0.045768452075913436,0.05948882478404038,0.04310363226606379,0.011861595046353196,1.245582888760716,0.05454437412932176,0.05688354416070982,0.057345739543563236,-0.004216316857891357,0.016077911904244555,0.08661570094939464
exploration,move_near,31,20,0.06490526330957186,0.08983317563201852,0.04267082653654216,0.02492791232244666,1.3884364701355025,0.05090473254969366,0.0609991482695863,0.043643518619977895,0.010076674016562488,0.01485123830588417,0.14709800764446376
