id,layer,mode,k,replacements
close_drawer__009__step_011,7,raw,109,0
close_drawer__009__step_011,7,raw,154,0
close_drawer__009__step_011,7,corners,64,2
close_drawer__009__step_011,7,corners,109,3
close_drawer__009__step_011,7,corners,154,3
close_drawer__009__step_011,7,gaussian,64,12
close_drawer__009__step_011,7,gaussian,109,25
close_drawer__009__step_011,7,gaussian,154,24
close_drawer__009__step_011,7,both,64,13
close_drawer__009__step_011,7,both,109,24
close_drawer__009__step_011,7,both,154,27
close_drawer__009__step_056,11,raw,64,0
close_drawer__009__step_056,11,raw,109,0
close_drawer__009__step_056,11,raw,154,0
close_drawer__009__step_056,11,corners,64,1
close_drawer__009__step_056,11,corners,109,2
close_drawer__009__step_056,11,corners,154,3
close_drawer__009__step_056,11,gaussian,64,13
close_drawer__009__step_056,11,gaussian,109,23
close_drawer__009__step_056,11,gaussian,154,22
close_drawer__009__step_056,11,both,64,13
close_drawer__009__step_056,11,both,109,23
close_drawer__009__step_056,11,both,154,24
close_drawer__009__step_056,7,raw,64,0
close_drawer__009__step_056,7,raw,109,0
close_drawer__009__step_056,7,raw,154,0
close_drawer__009__step_056,7,corners,64,2
close_drawer__009__step_056,7,corners,109,3
close_drawer__009__step_056,7,corners,154,3
close_drawer__009__step_056,7,gaussian,64,19
close_drawer__009__step_056,7,gaussian,109,21
close_drawer__009__step_056,7,gaussian,154,26
close_drawer__009__step_056,7,both,64,18
close_drawer__009__step_056,7,both,109,20
close_drawer__009__step_056,7,both,154,27
close_drawer__009__step_101,11,raw,64,0
close_drawer__009__step_101,11,raw,109,0
close_drawer__009__step_101,11,raw,154,0
close_drawer__009__step_101,11,corners,64,1
close_drawer__009__step_101,11,corners,109,2
close_drawer__009__step_101,11,corners,154,2
close_drawer__009__step_101,11,gaussian,64,14
close_drawer__009__step_101,11,gaussian,109,23
close_drawer__009__step_101,11,gaussian,154,22
close_drawer__009__step_101,11,both,64,14
close_drawer__009__step_101,11,both,109,23
close_drawer__009__step_101,11,both,154,22
close_drawer__009__step_101,7,raw,64,0
close_drawer__009__step_101,7,raw,109,0
close_drawer__009__step_101,7,raw,154,0
close_drawer__009__step_101,7,corners,64,2
close_drawer__009__step_101,7,corners,109,2
close_drawer__009__step_101,7,corners,154,4
close_drawer__009__step_101,7,gaussian,64,14
close_drawer__009__step_101,7,gaussian,109,24
close_drawer__009__step_101,7,gaussian,154,28
close_drawer__009__step_101,7,both,64,15
close_drawer__009__step_101,7,both,109,23
close_drawer__009__step_101,7,both,154,28
close_drawer__021__step_011,11,raw,64,0
close_drawer__021__step_011,11,raw,109,0
close_drawer__021__step_011,11,raw,154,0
close_drawer__021__step_011,11,corners,64,0
close_drawer__021__step_011,11,corners,109,1
close_drawer__021__step_011,11,corners,154,1
