state_id,task,seed,split,matched_count,layer,scale,count,top_alignment,top_minus_random,synonym_residual_cosine,target_residual_cosine,semantic_separation,synonym_mask_jaccard,target_mask_jaccard,mask_jaccard_separation
google_robot_open_drawer__seed000__step011,open_drawer,0,validation,35,14,0.75,26,0.28057938622655654,0.0033386876626148587,0.7285097697020241,0.7886152982139084,-0.06010552851188433,0.8571428571428571,0.7333333333333333,0.12380952380952381
google_robot_open_drawer__seed000__step011,open_drawer,0,validation,35,9,1.0,35,0.18558607123683216,0.031007299398823296,1.0,0.8477848178796842,0.15221518212031582,1.0,0.7948717948717948,0.20512820512820518
google_robot_open_drawer__seed000__step011,open_drawer,0,validation,35,11,1.0,35,0.1864697174197882,0.03189094558177935,0.9937997719659076,0.8606950321402493,0.1331047398256583,0.8918918918918919,0.5217391304347826,0.3701527614571093
google_robot_open_drawer__seed000__step011,open_drawer,0,validation,35,14,1.0,35,0.17208618422046093,0.01750741238245207,0.8417021226332184,0.7066124545504721,0.13508966808274636,0.8918918918918919,0.7948717948717948,0.09702009702009706
google_robot_open_drawer__seed000__step011,open_drawer,0,validation,35,9,1.25,44,0.18278300110049409,0.09596234426333157,0.9778937815011218,0.9540741730137802,0.02381960848734166,0.9555555555555556,0.76,0.1955555555555556
google_robot_open_drawer__seed000__step011,open_drawer,0,validation,35,11,1.25,44,0.21270703423645906,0.12588637739929653,0.960703538221099,0.9142293832976298,0.04647415492346918,0.8333333333333334,0.6296296296296297,0.20370370370370372
google_robot_open_drawer__seed000__step011,open_drawer,0,validation,35,14,1.25,44,0.18251900720516936,0.09569835036800685,0.99566232066955,0.9302035465178098,0.06545877415174017,0.9555555555555556,0.7254901960784313,0.23006535947712425
google_robot_open_drawer__seed000__step056,open_drawer,0,validation,40,9,0.75,30,0.22073561944424913,0.09620565141554444,0.9741586677356316,0.9773516649824607,-0.003192997246829088,0.9354838709677419,0.9354838709677419,0.0
google_robot_open_drawer__seed000__step056,open_drawer,0,validation,40,11,0.75,30,0.2518036077068504,0.1272736396781457,1.0,0.9257765707046443,0.07422342929535575,1.0,0.875,0.125
google_robot_open_drawer__seed000__step056,open_drawer,0,validation,40,14,0.75,30,0.20695244925143083,0.08242248122272613,0.9702771571205311,0.8966403849882144,0.07363677213231667,0.875,0.875,0.0
google_robot_open_drawer__seed000__step056,open_drawer,0,validation,40,9,1.0,40,0.22006178072271546,0.018527355246296895,0.88091009784403,0.8779327961078606,0.002977301736169391,0.9047619047619048,0.9512195121951219,-0.04645760743321714
google_robot_open_drawer__seed000__step056,open_drawer,0,validation,40,11,1.0,40,0.2593837857020033,0.05784936022558476,0.9142775263478357,0.945066897864063,-0.030789371516227293,0.9512195121951219,0.9047619047619048,0.04645760743321714
google_robot_open_drawer__seed000__step056,open_drawer,0,validation,40,14,1.0,40,0.21242151713912136,0.010887091662702797,0.9642671061133465,0.8893618803688682,0.07490522574447833,0.9047619047619048,0.9047619047619048,0.0
google_robot_open_drawer__seed000__step056,open_drawer,0,validation,40,9,1.25,50,0.3269762799136824,0.1668073212324168,0.9442685379637855,0.9040064527285262,0.040262085235259315,0.9230769230769231,0.9607843137254902,-0.037707390648567096
google_robot_open_drawer__seed000__step056,open_drawer,0,validation,40,11,1.25,50,0.2417976289790992,0.0816286702978336,0.9450546688927215,0.9540877247150551,-0.009033055822333602,0.9230769230769231,0.8867924528301887,0.036284470246734424
google_robot_open_drawer__seed000__step056,open_drawer,0,validation,40,14,1.25,50,0.24399764251372047,0.08382868383245487,0.9587470459620162,0.9508574401539169,0.007889605808099276,0.9230769230769231,0.9230769230769231,0.0
google_robot_open_drawer__seed000__step101,open_drawer,0,validation,23,9,0.75,17,0.43025055698975634,0.17768443887780833,0.8184480725286524,0.9598204446953235,-0.1413723721666711,0.6190476190476191,0.7894736842105263,-0.17042606516290726
google_robot_open_drawer__seed000__step101,open_drawer,0,validation,23,11,0.75,17,0.6738646067787836,0.42129848866683556,0.9936738343364264,0.9816225485770013,0.012051285759425157,0.8888888888888888,0.6190476190476191,0.26984126984126977
google_robot_open_drawer__seed000__step101,open_drawer,0,validation,23,14,0.75,17,0.6317739618016037,0.3792078436896557,0.998746111166927,0.9976851078063808,0.0010610033605462643,0.8888888888888888,0.8888888888888888,0.0
google_robot_open_drawer__seed000__step101,open_drawer,0,validation,23,9,1.0,23,0.4065244684104768,0.1814995298230531,0.9925220757964509,0.7382004553169326,0.25432162047951834,0.84,0.7692307692307693,0.0707692307692307
google_robot_open_drawer__seed000__step101,open_drawer,0,validation,23,11,1.0,23,0.6784897788665472,0.4534648402791235,0.9957985181531464,0.9045595360735658,0.09123898207958059,0.9166666666666666,0.6428571428571429,0.2738095238095237
