split,task,seed,layer,top_alignment,top_minus_random,synonym_residual_cosine,target_residual_cosine,semantic_separation,synonym_mask_jaccard,target_mask_jaccard,mask_jaccard_separation
exploration,move_near,2,26,0.09684763152058318,0.11327599558192514,0.998496852336226,0.9763688396756286,0.022128012660597312,0.9743589743589745,0.9568151147098515,0.017543859649122823
exploration,move_near,2,27,0.013060467602518439,0.029488831663860387,0.995132629391614,0.9532864006744518,0.041846228717162114,0.9705513784461153,0.9658119658119658,0.004739412634149454
exploration,move_near,2,28,-0.0029762047975331607,0.013452159263808772,0.8867183892783533,0.9714291546865814,-0.08471076540822804,0.9590643274853802,0.9387125220458555,0.020351805439524712
exploration,move_near,2,29,0.05692136663659072,0.07334973069793267,0.9287338618317329,0.9951219871188499,-0.06638812528711709,0.9449103528050896,0.9705513784461153,-0.025641025641025623
exploration,move_near,2,30,0.06706168384846627,0.08349004790980818,0.9689024105370843,0.9658042155469501,0.0030981949901340475,0.9880952380952381,0.9705513784461153,0.017543859649122823
exploration,move_near,2,31,0.0659706585680768,0.08239902262941874,0.9916760536489853,0.9916348964425702,4.1157206415065595e-05,0.9766081871345028,0.9590643274853802,0.017543859649122823
exploration,move_near,31,0,0.4352723882648985,0.46424622651323905,0.9749877654207921,1.0,-0.02501223457920787,0.9814814814814815,1.0,-0.018518518518518528
exploration,move_near,31,1,0.4066264030546201,0.43560024130296077,0.9997432312971494,0.997456904959675,0.00228632633747435,0.9855072463768115,0.9890710382513661,-0.003563791874554504
exploration,move_near,31,2,0.3304447556540224,0.3594185939023631,0.9781879224496673,0.9264409244920143,0.051746997957653106,0.9560597661096591,0.9560597661096591,0.0
exploration,move_near,31,3,0.3635910893488828,0.39256492759722345,0.9738809554523202,0.9684659619170425,0.005414993535277746,0.9474043715846995,0.945483351514207,0.0019210200704924036
exploration,move_near,31,4,0.3909482576754651,0.41992209592380575,0.9579938790970898,0.9661977093714595,-0.008203830274369772,0.9705525197328475,0.9560597661096591,0.014492753623188396
exploration,move_near,31,5,0.4046002878838517,0.4335741261321923,0.995348462227447,0.9521686612469389,0.043179800980508075,0.9705525197328475,0.9421837254066064,0.028368794326241138
