state_id,task,seed,step,partner_layer,alpha,m_t,l11_success,vanilla_success,paired_group,l11_group,mask_jaccard_l11,mean_lost_l11_tokens,mean_new_partner_tokens,lost_l11_fraction,components,component_change_l11,isolated_ratio,isolated_change_l11,largest_component_ratio,largest_change_l11,score_cosine_l11,rank_correlation_l11,target_response,target_response_l11,target_response_change,target_mask_response,target_correct_both
google_robot_move_near__seed000__step008,move_near,0,8,22,0.9,43,1,1,stable_success,success,0.9111111111111111,2,2,0.046511627906976744,10,1,0.13953488372093023,0.046511627906976744,0.6976744186046512,0.0,0.9962084883410011,0.9990014877546347,0.04086488536338259,0.043906901179143074,-0.003042015815760482,0.011627906976744186,1
google_robot_move_near__seed000__step008,move_near,0,8,22,0.75,43,1,1,stable_success,success,0.8695652173913043,3,3,0.06976744186046512,9,0,0.09302325581395349,0.0,0.6744186046511628,-0.023255813953488413,0.9738002121431314,0.9962484264133666,0.03579828677039724,0.043906901179143074,-0.008108614408745836,0.011627906976744186,1
google_robot_move_near__seed000__step008,move_near,0,8,22,0.5,43,1,1,stable_success,success,0.72,7,7,0.16279069767441862,9,0,0.09302325581395349,0.0,0.46511627906976744,-0.23255813953488375,0.8841725157413978,0.9889641508354312,0.025676280056721092,0.043906901179143074,-0.01823062112242198,0.011627906976744186,1
google_robot_move_near__seed000__step008,move_near,0,8,23,0.9,43,1,1,stable_success,success,0.9111111111111111,2,2,0.046511627906976744,8,-1,0.06976744186046512,-0.023255813953488372,0.6976744186046512,0.0,0.9984045183183792,0.999663109407187,0.04202700106342658,0.043906901179143074,-0.0018799001157164957,0.011627906976744186,1
google_robot_move_near__seed000__step008,move_near,0,8,23,0.75,43,1,1,stable_success,success,0.8695652173913043,3,3,0.06976744186046512,8,-1,0.06976744186046512,-0.023255813953488372,0.6744186046511628,-0.023255813953488413,0.9880786291571534,0.9982304303044174,0.038783204384683995,0.043906901179143074,-0.005123696794459079,0.011627906976744186,1
google_robot_move_near__seed000__step008,move_near,0,8,23,0.5,43,1,1,stable_success,success,0.7551020408163265,6,6,0.13953488372093023,9,0,0.09302325581395349,0.0,0.627906976744186,-0.06976744186046513,0.9362021816913522,0.993644855802243,0.03184564205092544,0.043906901179143074,-0.012061259128217636,0.011627906976744186,1
google_robot_move_near__seed000__step008,move_near,0,8,24,0.9,43,1,1,stable_success,success,0.9111111111111111,2,2,0.046511627906976744,8,-1,0.06976744186046512,-0.023255813953488372,0.6976744186046512,0.0,0.9940352278524713,0.9993798638132293,0.04127893307240386,0.043906901179143074,-0.002627968106739216,0.011627906976744186,1
google_robot_move_near__seed000__step008,move_near,0,8,24,0.75,43,1,1,stable_success,success,0.8695652173913043,3,3,0.06976744186046512,9,0,0.09302325581395349,0.0,0.6744186046511628,-0.023255813953488413,0.9609109686244399,0.9970788509956512,0.036896578793569036,0.043906901179143074,-0.007010322385574037,0.0,1
google_robot_move_near__seed000__step008,move_near,0,8,24,0.5,43,1,1,stable_success,success,0.72,7,7,0.16279069767441862,12,3,0.13953488372093023,0.046511627906976744,0.37209302325581395,-0.32558139534883723,0.8464235905238926,0.991244420920119,0.028123827342899338,0.043906901179143074,-0.015783073836243736,0.011627906976744186,1
google_robot_move_near__seed000__step008,move_near,0,8,25,0.9,43,1,1,stable_success,success,0.9111111111111111,2,2,0.046511627906976744,8,-1,0.06976744186046512,-0.023255813953488372,0.6976744186046512,0.0,0.9948442409064044,0.9985887788967726,0.04035660952132661,0.043906901179143074,-0.003550291657816465,0.011627906976744186,1
google_robot_move_near__seed000__step008,move_near,0,8,25,0.75,43,1,1,stable_success,success,0.8297872340425532,4,4,0.09302325581395349,8,-1,0.06976744186046512,-0.023255813953488372,0.6511627906976745,-0.046511627906976716,0.966238074205424,0.9953550583657584,0.03476771912173787,0.043906901179143074,-0.009139182057405201,0.0,1
google_robot_move_near__seed000__step008,move_near,0,8,25,0.5,43,1,1,stable_success,success,0.6538461538461539,9,9,0.20930232558139536,12,3,0.13953488372093023,0.046511627906976744,0.3488372093023256,-0.3488372093023256,0.8658132168028941,0.9858033875028609,0.024675129267740775,0.043906901179143074,-0.0192317719114023,0.011627906976744186,1
google_robot_move_near__seed000__step008,move_near,0,8,26,0.9,43,1,1,stable_success,success,0.9545454545454546,1,1,0.023255813953488372,9,0,0.11627906976744186,0.023255813953488372,0.7209302325581395,0.023255813953488302,0.9976929027675744,0.9991974708171204,0.041239498771526974,0.043906901179143074,-0.0026674024076161,0.011627906976744186,1
google_robot_move_near__seed000__step008,move_near,0,8,26,0.75,43,1,1,stable_success,success,0.8695652173913043,3,3,0.06976744186046512,11,2,0.16279069767441862,0.06976744186046513,0.6744186046511628,-0.023255813953488413,0.9838886294880728,0.9969965953307391,0.036727692834095424,0.043906901179143074,-0.00717920834504765,0.011627906976744186,1
google_robot_move_near__seed000__step008,move_near,0,8,26,0.5,43,1,1,stable_success,success,0.7916666666666666,5,5,0.11627906976744186,10,1,0.11627906976744186,0.023255813953488372,0.6511627906976745,-0.046511627906976716,0.9252519825781508,0.9902630750743876,0.02745425609203904,0.043906901179143074,-0.016452645087104034,0.011627906976744186,1
google_robot_move_near__seed000__step008,move_near,0,8,27,0.9,43,1,1,stable_success,success,0.9111111111111111,2,2,0.046511627906976744,8,-1,0.06976744186046512,-0.023255813953488372,0.6976744186046512,0.0,0.9991674800406625,0.9995243476768139,0.04223891047876082,0.043906901179143074,-0.0016679907003822533,0.011627906976744186,1
google_robot_move_near__seed000__step008,move_near,0,8,27,0.75,43,1,1,stable_success,success,0.9111111111111111,2,2,0.046511627906976744,8,-1,0.06976744186046512,-0.023255813953488372,0.6976744186046512,0.0,0.9935452658049873,0.9979056992446782,0.03926802226554815,0.043906901179143074,-0.004638878913594921,0.0,1
google_robot_move_near__seed000__step008,move_near,0,8,27,0.5,43,1,1,stable_success,success,0.8297872340425532,4,4,0.09302325581395349,10,1,0.11627906976744186,0.023255813953488372,0.6511627906976745,-0.046511627906976716,0.9618187904396853,0.9928552014190889,0.03248900819362702,0.043906901179143074,-0.011417892985516057,0.011627906976744186,1
google_robot_move_near__seed000__step008,move_near,0,8,28,0.9,43,1,1,stable_success,success,0.9111111111111111,2,2,0.046511627906976744,8,-1,0.06976744186046512,-0.023255813953488372,0.6976744186046512,0.0,0.9980784630558024,0.9989714465552756,0.0416904306437053,0.043906901179143074,-0.0022164705354377756,0.011627906976744186,1
