partner_layer,alpha,group_type,group,states,episodes,target_control_states,target_response_change,mask_jaccard_l11,mean_lost_l11_tokens,components,component_change_l11,score_cosine_l11,rank_correlation_l11
15,0.75,l11_outcome,success,54,18,6,-0.013842779142854157,0.866195384600602,2.611111111111111,7.351851851851852,0.5925925925925926,0.9855646992423929,0.9910270858235208
15,0.9,l11_outcome,fail,51,17,3,-0.010465166161241842,0.9332707143748252,0.9215686274509803,6.411764705882353,0.11764705882352941,0.9979979463161972,0.996988236528303
15,0.9,l11_outcome,success,54,18,6,-0.005589362602766001,0.9414222129052605,1.1666666666666667,6.962962962962963,0.2037037037037037,0.9977908993850159,0.9972261561888047
16,0.5,l11_outcome,fail,51,17,3,-0.04581420608376383,0.7242067176724101,4.254901960784314,7.764705882352941,1.4705882352941178,0.9448586034433413,0.977707017803688
16,0.5,l11_outcome,success,54,18,6,-0.022188228438008478,0.7275247007939559,5.37037037037037,8.75925925925926,2.0,0.9380026233131572,0.9741884637555841
16,0.75,l11_outcome,fail,51,17,3,-0.022949762305530155,0.8593505715906399,2.196078431372549,6.96078431372549,0.6666666666666666,0.9877844392918073,0.9912235940382103
16,0.75,l11_outcome,success,54,18,6,-0.010993511230708434,0.8555268805756567,2.7037037037037037,7.722222222222222,0.9629629629629629,0.9863788864457546,0.9898127352432541
16,0.9,l11_outcome,fail,51,17,3,-0.00920291105810552,0.9411708083309369,0.9215686274509803,6.470588235294118,0.17647058823529413,0.9982028737132518,0.997452416535394
16,0.9,l11_outcome,success,54,18,6,-0.004372225611975904,0.9331449784087917,1.2962962962962963,7.111111111111111,0.35185185185185186,0.9980195526203739,0.9967847704364927
17,0.5,l11_outcome,fail,51,17,3,-0.03704718536676293,0.710154222775881,4.215686274509804,7.9411764705882355,1.6470588235294117,0.9348113639686106,0.9873004826787661
17,0.5,l11_outcome,success,54,18,6,-0.015177090411361569,0.7321430682146589,5.2407407407407405,8.703703703703704,1.9444444444444444,0.9340512037375265,0.9872533787077302
17,0.75,l11_outcome,fail,51,17,3,-0.01786075920701834,0.8522080433681973,2.176470588235294,7.235294117647059,0.9411764705882353,0.9845668801383605,0.9959666674520571
17,0.75,l11_outcome,success,54,18,6,-0.007373754545459205,0.8489542560559166,2.8518518518518516,7.796296296296297,1.037037037037037,0.9850204963643392,0.9961181419173809
17,0.9,l11_outcome,fail,51,17,3,-0.007002922229252401,0.9316343091285921,1.0392156862745099,6.588235294117647,0.29411764705882354,0.9976452094323054,0.9990220621894899
17,0.9,l11_outcome,success,54,18,6,-0.0029044292371612004,0.9387451876236504,1.2037037037037037,7.111111111111111,0.35185185185185186,0.9977715341016695,0.9990804187541854
18,0.5,l11_outcome,fail,51,17,3,-0.02544076517056018,0.7709388816729766,3.4705882352941178,7.549019607843137,1.2549019607843137,0.9578263582108345,0.9902472550590388
18,0.5,l11_outcome,success,54,18,6,-0.018415852289536246,0.7894150608327277,3.9444444444444446,8.351851851851851,1.5925925925925926,0.9576117981884396,0.990104921670354
18,0.75,l11_outcome,fail,51,17,3,-0.010381560771654036,0.8877082656218102,1.6470588235294117,6.901960784313726,0.6078431372549019,0.992396554385071,0.9972337553126079
18,0.75,l11_outcome,success,54,18,6,-0.007755453423796971,0.8904025750775125,1.9074074074074074,7.537037037037037,0.7777777777777778,0.9925343756069759,0.9972535614980967
18,0.9,l11_outcome,fail,51,17,3,-0.0037434675574613253,0.9519439771229873,0.7058823529411765,6.411764705882353,0.11764705882352941,0.9989936803737837,0.9993856139961134
18,0.9,l11_outcome,success,54,18,6,-0.0028350078126754756,0.9500272469929585,0.9814814814814815,7.148148148148148,0.3888888888888889,0.9990198920813219,0.9994103156286291
19,0.5,l11_outcome,fail,51,17,3,-0.03580574860629448,0.7288182478345712,3.9607843137254903,8.215686274509803,1.9215686274509804,0.9497999219138795,0.9892645628290225
19,0.5,l11_outcome,success,54,18,6,-0.020457104068283685,0.7707374630916812,4.222222222222222,8.61111111111111,1.8518518518518519,0.949345457197766,0.9914417947788712
19,0.75,l11_outcome,fail,51,17,3,-0.01574846008710774,0.8771109435018366,1.8235294117647058,7.019607843137255,0.7254901960784313,0.9906680120412902,0.9962467013585016
19,0.75,l11_outcome,success,54,18,6,-0.009161879281645637,0.8769769013541227,2.259259259259259,7.796296296296297,1.037037037037037,0.9907310898627537,0.9973438043072826
19,0.9,l11_outcome,fail,51,17,3,-0.0058775967815712276,0.945408526034403,0.7647058823529411,6.509803921568627,0.21568627450980393,0.9987518988706997,0.998884099874786
19,0.9,l11_outcome,success,54,18,6,-0.0034543310657510653,0.946589004509641,1.0185185185185186,7.277777777777778,0.5185185185185185,0.9987642787958244,0.9993519419224668
20,0.5,l11_outcome,fail,51,17,3,-0.039685725345125426,0.6957294822592144,4.568627450980392,8.333333333333334,2.0392156862745097,0.910191838667836,0.9886145116664197
20,0.5,l11_outcome,success,54,18,6,-0.022043743260576978,0.7454233824916804,4.7407407407407405,8.518518518518519,1.7592592592592593,0.920552831354861,0.9894591286038841
20,0.75,l11_outcome,fail,51,17,3,-0.018082780523504552,0.8492282440095209,2.2941176470588234,7.411764705882353,1.1176470588235294,0.9794736992310646,0.9960415600779108
20,0.75,l11_outcome,success,54,18,6,-0.009952418037690265,0.8478931873067954,2.685185185185185,7.796296296296297,1.037037037037037,0.9826241738578126,0.9965891317616539
20,0.9,l11_outcome,fail,51,17,3,-0.006871757662980138,0.9409184555424227,0.9019607843137255,6.470588235294118,0.17647058823529413,0.9969768955208309,0.998914225223163
20,0.9,l11_outcome,success,54,18,6,-0.0037687676632295534,0.9273854180388749,1.2962962962962963,7.2407407407407405,0.48148148148148145,0.9974966089419333,0.9991715887608826
21,0.5,l11_outcome,fail,51,17,3,-0.01692387314426104,0.7444596540120593,3.7254901960784315,8.411764705882353,2.1176470588235294,0.9228343071232159,0.99191890334756
21,0.5,l11_outcome,success,54,18,6,-0.006713048080606195,0.7511868571066879,4.574074074074074,9.074074074074074,2.314814814814815,0.9190493549914075,0.9913056159558505
21,0.75,l11_outcome,fail,51,17,3,-0.007264341870747866,0.8729003959542174,1.8627450980392157,7.333333333333333,1.0392156862745099,0.984353485821121,0.9971323837958161
21,0.75,l11_outcome,success,54,18,6,-0.0027107780581235447,0.8666836096869937,2.2962962962962963,8.037037037037036,1.2777777777777777,0.9838964439846097,0.9970846128658984
