partner_layer,alpha,task,states,episodes,target_control_states,target_response,target_response_change,mask_jaccard_l11,mean_lost_l11_tokens,components,component_change_l11,score_cosine_l11,rank_correlation_l11
8,0.75,move_near,30,10,3,0.04310757311930569,0.001091713920156288,0.9327665771897072,1.3333333333333333,8.566666666666666,-0.06666666666666667,0.9954154301048193,0.9931116483558403
8,0.75,open_drawer,30,10,3,0.03120284505914686,-0.007530752901897334,0.8901706932447875,1.9333333333333333,6.066666666666666,0.3333333333333333,0.9893739223704388,0.9884881408789193
8,0.75,pick_coke_can,30,10,3,0.15370174263754532,-0.01824375388811834,0.9029920031818698,1.3333333333333333,6.633333333333334,0.23333333333333334,0.9948346534272621,0.9908191472114135
8,0.9,close_drawer,15,5,0,,,0.9674981196882726,0.4,4.066666666666666,-0.13333333333333333,0.9994667177405777,0.9984111543450063
8,0.9,move_near,30,10,3,0.04242653464343873,0.0004106754442893337,0.9638746534318415,0.7,8.533333333333333,-0.1,0.9993495560658927,0.9981215905622951
8,0.9,open_drawer,30,10,3,0.03577703265964997,-0.0029565653013942186,0.9609020940765531,0.7333333333333333,5.8,0.06666666666666667,0.9983974479348571,0.9966782539864194
8,0.9,pick_coke_can,30,10,3,0.1649075590101017,-0.007037937515561944,0.9683863720255228,0.5333333333333333,6.333333333333333,-0.06666666666666667,0.9992606223593287,0.9967653019378957
9,0.5,close_drawer,15,5,0,,,0.8104089809972164,2.933333333333333,4.666666666666667,0.4666666666666667,0.9736937972743065,0.9707795929655908
9,0.5,move_near,30,10,3,0.05055809059055621,0.008542231391406809,0.8503092631850376,2.933333333333333,9.533333333333333,0.9,0.9806987907197123,0.9755715457389179
9,0.5,open_drawer,30,10,3,0.02473101961366848,-0.014002578347375708,0.7947089769399256,3.7333333333333334,6.433333333333334,0.7,0.9744669888844436,0.9736067797741662
9,0.5,pick_coke_can,30,10,3,0.12579074646177604,-0.046154750063887584,0.8490239257881534,2.1333333333333333,7.2,0.8,0.974638246979933,0.9775828755626762
9,0.75,close_drawer,15,5,0,,,0.902134959121044,1.4,4.266666666666667,0.06666666666666667,0.9952915691044203,0.9879305905241471
9,0.75,move_near,30,10,3,0.04571084838058562,0.003694989181436223,0.9292793366741129,1.2333333333333334,8.766666666666667,0.13333333333333333,0.9964902546181554,0.9900817549782556
9,0.75,open_drawer,30,10,3,0.0323139580146503,-0.006419639946393891,0.9033104084450574,1.6666666666666667,6.3,0.5666666666666667,0.9955505133860425,0.9888177834363314
9,0.75,pick_coke_can,30,10,3,0.15143185448022467,-0.02051364204543897,0.9210966089012758,1.1666666666666667,6.7,0.3,0.9955424317922358,0.9893402618829631
9,0.9,close_drawer,15,5,0,,,0.9705373058314236,0.4,4.133333333333334,-0.06666666666666667,0.9993693038036902,0.9957258525978483
9,0.9,move_near,30,10,3,0.043383346367957716,0.001367487168808329,0.9611860692951512,0.6333333333333333,8.7,0.06666666666666667,0.9995285903615804,0.9968006837949184
9,0.9,open_drawer,30,10,3,0.036293058122647326,-0.0024405398383968643,0.9643781752105683,0.6,5.833333333333333,0.1,0.9994109026374767,0.9955828707942317
9,0.9,pick_coke_can,30,10,3,0.16425117870933928,-0.007694317816324371,0.9615726131813013,0.5,6.366666666666666,-0.03333333333333333,0.9994123138136886,0.9959853274967574
10,0.5,close_drawer,15,5,0,,,0.7836439801145683,2.6666666666666665,4.8,0.6,0.9716332322754042,0.982711003662165
10,0.5,move_near,30,10,3,0.03340590083692369,-0.008609958362225697,0.846471679509231,2.966666666666667,8.7,0.06666666666666667,0.9824618541366568,0.9869222552834364
10,0.5,open_drawer,30,10,3,0.01914636144851638,-0.01958723651252781,0.7973706171237941,3.8333333333333335,6.1,0.36666666666666664,0.9643090273531525,0.9798457885099564
10,0.5,pick_coke_can,30,10,3,0.12725683174558425,-0.04468866478007938,0.8095770035994206,2.6,6.566666666666666,0.16666666666666666,0.9732321645905221,0.9835069523918514
10,0.75,close_drawer,15,5,0,,,0.9070956595804467,1.2666666666666666,4.466666666666667,0.26666666666666666,0.9941721218190536,0.9937365529869534
10,0.75,move_near,30,10,3,0.03791764965213742,-0.0040982095470119785,0.9203095688684465,1.4333333333333333,8.533333333333333,-0.1,0.9962651585559192,0.995498445487144
10,0.75,open_drawer,30,10,3,0.028938220225749767,-0.009795377735294429,0.8951895327983287,1.9666666666666666,6.033333333333333,0.3,0.9924092598620572,0.9924076590753032
10,0.75,pick_coke_can,30,10,3,0.15123794454299166,-0.020707551982672,0.9229663769626716,1.2,6.466666666666667,0.06666666666666667,0.9946103707742816,0.9931115053025099
10,0.9,close_drawer,15,5,0,,,0.9474417498073413,0.6666666666666666,4.066666666666666,-0.13333333333333333,0.9991682259788662,0.9981202792401007
10,0.9,move_near,30,10,3,0.04042177543430795,-0.0015940837648414409,0.9716820907888106,0.4666666666666667,8.7,0.06666666666666667,0.9994566561572946,0.9987942988479437
10,0.9,open_drawer,30,10,3,0.03482016650256459,-0.003913431458479601,0.959015098626109,0.7666666666666667,5.733333333333333,0.0,0.9989002381116999,0.997628747997253
10,0.9,pick_coke_can,30,10,3,0.16400721559278533,-0.007938280932878322,0.9799625857818002,0.36666666666666664,6.366666666666666,-0.03333333333333333,0.9992389045230501,0.9978876506828409
12,0.5,close_drawer,15,5,0,,,0.8010645409165006,2.2666666666666666,4.6,0.4,0.9762788239608954,0.9881037804226748
12,0.5,move_near,30,10,3,0.030756820978872754,-0.011259038220276641,0.8179326427669629,3.533333333333333,9.233333333333333,0.6,0.968899049001106,0.989521748874647
12,0.5,open_drawer,30,10,3,0.02120464771314684,-0.017528950247897346,0.8426203183398983,2.9,5.7,-0.03333333333333333,0.9633635706911937,0.988502660791943
12,0.5,pick_coke_can,30,10,3,0.12716587269076318,-0.044779623834900466,0.8255051016481219,2.2,7.0,0.6,0.9726945859555215,0.9900977054245821
12,0.75,close_drawer,15,5,0,,,0.9093215771156948,1.2666666666666666,4.2,0.0,0.9947101908096491,0.9962879568169679
12,0.75,move_near,30,10,3,0.0362170919032721,-0.0057987672958772956,0.9079036734510755,1.5666666666666667,8.6,-0.03333333333333333,0.9916522209980949,0.9965373702983136
12,0.75,open_drawer,30,10,3,0.02984359643596003,-0.008890001525084163,0.9114383358170991,1.6333333333333333,5.566666666666666,-0.16666666666666666,0.9909143126408166,0.9965081397344928
12,0.75,pick_coke_can,30,10,3,0.15001041461451906,-0.02193508191114459,0.9337568790255885,0.9666666666666667,6.833333333333333,0.43333333333333335,0.9938501279134525,0.9964388065537498
12,0.9,close_drawer,15,5,0,,,0.9504401693222894,0.6666666666666666,4.133333333333334,-0.06666666666666667,0.9992133356820556,0.9991895075150681
12,0.9,move_near,30,10,3,0.03964644326027286,-0.002369415938876534,0.9564676963532531,0.7666666666666667,8.466666666666667,-0.16666666666666666,0.9986169541907286,0.9991968270771341
12,0.9,open_drawer,30,10,3,0.035146834965534134,-0.003586762995510051,0.9591331224216585,0.8,5.866666666666666,0.13333333333333333,0.9985596098373998,0.9992617256046386
12,0.9,pick_coke_can,30,10,3,0.16327243321676918,-0.00867306330889448,0.9754581893995181,0.3333333333333333,6.466666666666667,0.06666666666666667,0.9990797019151394,0.9991270408941785
13,0.5,close_drawer,15,5,0,,,0.8163898874979586,2.3333333333333335,4.666666666666667,0.4666666666666667,0.969518301825363,0.9829435606927597
13,0.5,move_near,30,10,3,0.03222630216678957,-0.009789557032359826,0.8190169529370727,3.466666666666667,8.966666666666667,0.3333333333333333,0.9651282439590311,0.9922295576791026
13,0.5,open_drawer,30,10,3,0.02137064914233493,-0.01736294881870926,0.7992174557660408,3.8,6.533333333333333,0.8,0.9658151916298627,0.9818872787441824
13,0.5,pick_coke_can,30,10,3,0.11571600233244723,-0.056229494193216406,0.8145687297653957,2.1666666666666665,6.766666666666667,0.36666666666666664,0.9691473181702133,0.9930484426260774
13,0.75,close_drawer,15,5,0,,,0.8917321163136775,1.1333333333333333,4.666666666666667,0.4666666666666667,0.9928711173570197,0.994593490119783
13,0.75,move_near,30,10,3,0.037264651202624205,-0.004751207996525189,0.9181869415898775,1.4666666666666666,8.6,-0.03333333333333333,0.9923500932168673,0.9977607385366594
13,0.75,open_drawer,30,10,3,0.030528253623657766,-0.008205344337386428,0.8906554464608366,1.8666666666666667,6.1,0.36666666666666664,0.9925079514276013,0.9942471103227281
13,0.75,pick_coke_can,30,10,3,0.14550657340426812,-0.02643892312139552,0.9324256431384332,0.8666666666666667,6.566666666666666,0.16666666666666666,0.9936966770311498,0.997733224612802
13,0.9,close_drawer,15,5,0,,,0.967037290195185,0.4,4.333333333333333,0.13333333333333333,0.9989105562256148,0.9987925822079803
13,0.9,move_near,30,10,3,0.040148322196657905,-0.0018675370024914862,0.9579137099208384,0.8,8.466666666666667,-0.16666666666666666,0.9988790605358963,0.999510256923781
13,0.9,open_drawer,30,10,3,0.03555417941223889,-0.003179418548805302,0.9647633730530949,0.6666666666666666,5.833333333333333,0.1,0.998891894622163,0.998710779545281
13,0.9,pick_coke_can,30,10,3,0.16171823422191517,-0.010227262303748486,0.9655158879733459,0.5,6.333333333333333,-0.06666666666666667,0.9991044986889598,0.9994718232623789
14,0.5,close_drawer,15,5,0,,,0.7288102992996095,3.2,4.0,-0.2,0.9266064461537857,0.9829330701152054
14,0.5,move_near,30,10,3,0.022495452048124462,-0.019520407151024932,0.7613197875224977,4.9,9.333333333333334,0.7,0.9440566161461132,0.9807751344701302
14,0.5,open_drawer,30,10,3,0.023254781810275196,-0.015478816150768992,0.7904146469860566,4.1,6.166666666666667,0.43333333333333335,0.9387894765911717,0.9797607433051042
