partner_layer,alpha,states,target_control_states,target_response,target_response_l11,target_response_change,mask_jaccard_l11,mean_lost_l11_tokens,mean_new_partner_tokens,lost_l11_fraction,components,component_change_l11,isolated_ratio,largest_component_ratio,score_cosine_l11,rank_correlation_l11,open_target_delta,pick_target_delta,move_target_delta,task_nonharm_fraction,complement_score,strict_candidate,relaxed_candidate
14,0.9,105,9,0.07977994561356204,0.08423165122861907,-0.004451705615057024,0.9291904101017389,1.1428571428571428,1.1428571428571428,0.03815796113377075,6.571428571428571,0.0380952380952381,0.10694273759271684,0.6148360271778893,0.9962190334513338,0.9975223912522205,-0.003704431429000134,-0.004641032902342228,-0.0050096525138287095,0.0,0.7243812949846351,0,0
15,0.5,105,9,0.048879603389751024,0.08423165122861907,-0.035352047838868056,0.7582069134591138,4.247619047619048,4.247619047619048,0.14091242618626967,7.961904761904762,1.4285714285714286,0.14822919008862018,0.5588271888459873,0.9425852620645999,0.9776848998354204,-0.01963951690318411,-0.06704343932140601,-0.01937318729201404,0.0,0.3295045387692967,0,0
15,0.75,105,9,0.06636102414146706,0.08423165122861907,-0.017870627087152008,0.8676261302618308,2.323809523809524,2.323809523809524,0.07277289631164639,7.276190476190476,0.7428571428571429,0.12560950704044743,0.5812762736387442,0.9862650157368665,0.9909121284700649,-0.010050275582103705,-0.033424965891011384,-0.010136639788340935,0.0,0.4861037546801024,0,0
15,0.9,105,9,0.0770170207730278,0.08423165122861907,-0.0072146304555912805,0.9374629136190491,1.0476190476190477,1.0476190476190477,0.033098206556661354,6.695238095238095,0.1619047619047619,0.10776918448711738,0.6050848001396094,0.997891465037304,0.9971105952108468,-0.004078067331819095,-0.01338301765227345,-0.004182806382681298,0.0,0.672144080062478,0,0
16,0.5,105,9,0.05416809690869215,0.08423165122861907,-0.030063554319926925,0.7259131089920624,4.828571428571428,4.828571428571428,0.16356957491492086,8.276190476190477,1.7428571428571429,0.1480040511554758,0.5345424702670775,0.9413326708049607,0.9758974757218061,-0.019245281201304996,-0.053223421351231766,-0.01772196040724402,0.0,0.3342712496376753,0,0
16,0.75,105,9,0.06925272297297007,0.08423165122861907,-0.014978928255649008,0.8573841019257914,2.4571428571428573,2.4571428571428573,0.07897976735600493,7.352380952380952,0.819047619047619,0.12412359675296514,0.5744903464004241,0.9870615835424088,0.9904980095150899,-0.010259349209272337,-0.026223937299278476,-0.008453498258396211,0.0,0.5058752930372482,0,0
16,0.9,105,9,0.07824919713459996,0.08423165122861907,-0.005982454094019109,0.9370432386566909,1.1142857142857143,1.1142857142857143,0.033379253888640915,6.8,0.26666666666666666,0.10872872927089045,0.5968000498941167,0.9981085942940574,0.9971090556845306,-0.004251863843675714,-0.010404456596294418,-0.0032910418420871953,0.0,0.6850097723082643,0,0
17,0.5,105,9,0.06176452916545706,0.08423165122861907,-0.022467122063162023,0.7214627718586811,4.742857142857143,4.742857142857143,0.16704600832363925,8.333333333333334,1.8,0.1580358335562322,0.5131646690659087,0.9344204244211959,0.9872762577793761,-0.015331147988837843,-0.036304043090248594,-0.015766175110399624,0.0,0.39499911429676954,0,0
17,0.75,105,9,0.07336222846264016,0.08423165122861907,-0.010869422765978918,0.8505346670361673,2.5238095238095237,2.5238095238095237,0.08361746213862165,7.523809523809524,0.9904761904761905,0.1285929094373696,0.5696334901204101,0.9848001684831496,0.9960445686056522,-0.007358971855296888,-0.017202164305870668,-0.008047132136769197,0.0,0.5643458453149329,0,0
17,0.9,105,9,0.07996105766076082,0.08423165122861907,-0.004270593567858267,0.9352913323546223,1.1238095238095238,1.1238095238095238,0.03452940375583063,6.857142857142857,0.3238095238095238,0.10904720720925029,0.5902903329817035,0.9977101764051213,0.9990520741370477,-0.0028735844252342235,-0.006675117787992175,-0.0032630784903484034,0.0,0.7368244261095104,0,0
18,0.5,105,9,0.06347416131207485,0.08423165122861907,-0.020757489916544223,0.78044091666942,3.7142857142857144,3.7142857142857144,0.12715618471154813,7.961904761904762,1.4285714285714286,0.14496666353148782,0.5458866310903089,0.9577160130564601,0.9901740550305722,-0.00843120350548113,-0.0410493605494707,-0.012791905694680842,0.0,0.4339006693414686,0,0
