split,comparison,metric,episodes,mean_difference,ci_low,ci_high,positive_fraction
validation,L11 - L14 at scale 1.00,top_alignment,10,0.012352358034374105,-0.03051235298973471,0.05357240538290879,0.6
validation,L11 - L14 at scale 1.00,top_minus_random,10,0.012352358034374112,-0.030010398326971634,0.05329774843903175,0.6
validation,L11 - L14 at scale 1.00,semantic_separation,10,0.01605330808084527,-0.04752263187327906,0.07827590853124024,0.5
validation,L11 - L14 at scale 1.00,mask_jaccard_separation,10,0.034448912583163696,-0.020265044131024118,0.08922709734000465,0.7
validation,L11 - L9 at scale 1.25,top_alignment,10,0.05304644752405836,0.021029357897055508,0.08501015013030194,0.9
validation,L11 - L9 at scale 1.25,top_minus_random,10,0.053046447524058335,0.021785840870927133,0.08523710598403987,0.9
validation,L11 - L9 at scale 1.25,semantic_separation,10,0.004703625015206771,-0.05675468095764396,0.06391994933081128,0.6
validation,L11 - L9 at scale 1.25,mask_jaccard_separation,10,0.046559919411404846,0.008587947713736093,0.08137251473665377,0.8
validation,L11 - L14 at scale 1.25,top_alignment,10,0.022470780512224696,-0.020887484073050928,0.074976154739718,0.5
validation,L11 - L14 at scale 1.25,top_minus_random,10,0.022470780512224686,-0.020451702648898593,0.07509448673857902,0.5
validation,L11 - L14 at scale 1.25,semantic_separation,10,0.03336046670735473,-0.0460337484872524,0.11568732019601363,0.6
validation,L11 - L14 at scale 1.25,mask_jaccard_separation,10,0.0032714414502363924,-0.030235631798833335,0.03375638886772123,0.5
