split,task,seed,layer,scale,mean_count,top_alignment,top_minus_random,synonym_residual_cosine,target_residual_cosine,semantic_separation,synonym_mask_jaccard,target_mask_jaccard,mask_jaccard_separation
exploration,move_near,98,9,1.0,56.333333333333336,0.4223044949955372,0.16615953744798156,0.9521187940605859,0.9560241566398608,-0.003905362579274948,0.9708956996911381,0.9708956996911381,0.0
exploration,move_near,98,9,1.25,70.66666666666667,0.5444723129674504,0.3161481616823824,0.8589588728074166,0.8993100695672323,-0.04035119675981569,0.9253769876195506,0.9140800719748089,0.011296915644741742
exploration,move_near,98,11,0.75,42.0,0.469127376701491,0.2581889581873737,0.9404335108124376,0.7624598340789595,0.17797367673347828,0.8506441223832528,0.772346376270618,0.07829774611263483
exploration,move_near,98,11,1.0,56.333333333333336,0.5573787419631983,0.3012337844156426,0.9616430091083924,0.9188273609866274,0.042815648121764936,0.8624959270120561,0.8386926913242703,0.02380323568778579
exploration,move_near,98,11,1.25,70.66666666666667,0.5713913686217723,0.34306721733670426,0.9848444945355687,0.960362488961955,0.024482005573613613,0.8974358974358975,0.8588319088319087,0.038603988603988615
exploration,move_near,98,14,0.75,42.0,0.49487538320488866,0.2839369646907714,0.9827588091787476,0.792349720965087,0.19040908821366045,0.9075224292615597,0.7969943846083035,0.11052804465325627
exploration,move_near,98,14,1.0,56.333333333333336,0.4940166847657595,0.2378717272182039,0.9886492540037191,0.6590409287940197,0.32960832520969935,0.9100017067759003,0.7861333927510398,0.1238683140248605
exploration,move_near,98,14,1.25,70.66666666666667,0.49163433136322016,0.2633101800781522,0.9496912693204195,0.7446236680747441,0.20506760124567555,0.9499923722349352,0.8839249858344473,0.06606738640048786
exploration,move_near,99,9,0.75,19.666666666666668,0.1878868194468648,0.10506472877431171,0.9107552868268454,0.740400880112604,0.17035440671424132,0.8457049486461251,0.7111111111111111,0.13459383753501397
exploration,move_near,99,9,1.0,26.0,0.19899537604275627,0.10891869624786808,0.897621266164237,0.8133741659231761,0.08424710024106084,0.8940199335548172,0.6909237688847885,0.20309616467002897
exploration,move_near,99,9,1.25,32.333333333333336,0.27398168746856144,0.2283845825774368,0.8323855517393884,0.7136582355341483,0.11872731620524013,0.9128182090446243,0.7092946269416857,0.20352358210293842
exploration,move_near,99,11,0.75,19.666666666666668,0.19482169120686307,0.11199960053430995,0.9020525245159824,0.8406131074258415,0.061439417090140745,0.8849206349206349,0.6559006211180124,0.2290200138026225
exploration,move_near,99,11,1.0,26.0,0.2519678983793744,0.1618912185844862,0.8773847147250001,0.8037670671331103,0.07361764759188978,0.9333333333333332,0.7407592407592407,0.1925740925740926
exploration,move_near,99,11,1.25,32.333333333333336,0.21780913032433538,0.17221202543321068,0.9272528070030468,0.7711203858339565,0.15613242116909035,0.9683737646001797,0.6856641123882503,0.2827096522119294
exploration,move_near,99,14,0.75,19.666666666666668,0.17975582520015573,0.09693373452760264,0.836291981020166,0.769735012234801,0.06655696878536499,0.8849206349206349,0.6579124579124579,0.227008177008177
exploration,move_near,99,14,1.0,26.0,0.17785101707741138,0.0877743372825232,0.7477805640830262,0.7240850062827616,0.023695557800264482,0.8718524458700884,0.632967032967033,0.23888541290305523
exploration,move_near,99,14,1.25,32.333333333333336,0.211763769257316,0.16616666436619132,0.8711167077961517,0.7944222399094119,0.07669446788673973,0.889033189033189,0.6992026509267889,0.18983053810640016
exploration,open_drawer,11,9,0.75,33.666666666666664,0.2631711268510843,-0.009068954402990567,0.9699775437343497,0.8542182227191207,0.11575932101522916,0.8792800967937083,0.8113334953947545,0.06794660139895381
exploration,open_drawer,11,9,1.0,45.0,0.34325962074722866,0.1711842095747791,0.9511056343485712,0.912135718102594,0.0389699162459772,0.948641975308642,0.8825803825803825,0.06606159272825944
exploration,open_drawer,11,9,1.25,56.333333333333336,0.405085315560201,0.23227812920882948,0.9575082054451859,0.9162175717619059,0.0412906336832799,0.9394081063085271,0.9108617734143681,0.028546332894158977
exploration,open_drawer,11,11,0.75,33.666666666666664,0.2729543785580127,0.0007142973039378312,0.8983852362270319,0.8294733603561363,0.06891187587089553,0.9006265664160401,0.7647146978382225,0.13591186857781745
exploration,open_drawer,11,11,1.0,45.0,0.31760871037824806,0.14553329920579852,0.8701700782854455,0.847359676479904,0.02281040180554139,0.9000569196647629,0.8763182763182762,0.023738643346486493
exploration,open_drawer,11,11,1.25,56.333333333333336,0.4817329028455634,0.30892571649419187,0.957981112839896,0.7625112158101639,0.19546989702973214,0.9293478260869565,0.8637506284565108,0.06559719763044569
exploration,open_drawer,11,14,0.75,33.666666666666664,0.16941407839019096,-0.10282600286388384,0.908972408988541,0.8327694421302404,0.07620296685830048,0.9166666666666666,0.8385598141695704,0.07810685249709641
exploration,open_drawer,11,14,1.0,45.0,0.42025566794987435,0.2481802567774248,0.9136934842810002,0.8405457747195926,0.07314770956140759,0.9247186809450959,0.859783981266934,0.06493469967816212
exploration,open_drawer,11,14,1.25,56.333333333333336,0.37961399735813145,0.20680681100675993,0.9210677641345221,0.9354408713326244,-0.014373107198102327,0.9499845209039792,0.9193679634951537,0.030616557408825556
exploration,open_drawer,32,9,0.75,21.333333333333332,0.2503431967897616,0.20154549400963773,0.9352108133862113,0.8136065280419253,0.1216042853442858,0.8577777777777778,0.8087569971627943,0.04902078061498353
exploration,open_drawer,32,9,1.0,28.666666666666668,0.2689355054611173,0.1890424001661386,0.9462283131041161,0.8699019610986354,0.07632635200548084,0.8685465768799102,0.7913165266106442,0.07723005026926599
exploration,open_drawer,32,9,1.25,36.0,0.2848193865390798,0.22255491957659154,0.98622938774968,0.8229091947386865,0.16332019301099363,0.9595959595959597,0.8598756575801052,0.0997203020158544
