dataset,task,seed,step,state_id,outcome_group,alpha,spatial_mode,m_t,jaccard_l11,l11_retention,lost_from_l11,new_vs_l11,components,isolated_ratio,largest_component_ratio,synonym_mask_jaccard,target_response,target_mask_response,target_correct_both
cached_90,move_near,98,8,google_robot_move_near__seed098__step008,both_success,0.75,raw,59,0.9032258064516129,0.9491525423728814,3,3,9,0.0847457627118644,0.5423728813559322,0.9032258064516129,,,
cached_90,move_near,98,8,google_robot_move_near__seed098__step008,both_success,0.75,corners,59,0.9032258064516129,0.9491525423728814,3,3,9,0.0847457627118644,0.5254237288135594,0.9032258064516129,,,
cached_90,move_near,98,8,google_robot_move_near__seed098__step008,both_success,0.75,gaussian,59,0.7352941176470589,0.847457627118644,9,9,4,0.01694915254237288,0.8305084745762712,0.9032258064516129,,,
cached_90,move_near,98,8,google_robot_move_near__seed098__step008,both_success,0.75,both,59,0.7352941176470589,0.847457627118644,9,9,4,0.01694915254237288,0.8135593220338984,0.9344262295081968,,,
cached_90,move_near,98,8,google_robot_move_near__seed098__step008,both_success,0.5,raw,59,0.7878787878787878,0.8813559322033898,7,7,11,0.1016949152542373,0.4745762711864407,0.9032258064516129,,,
cached_90,move_near,98,8,google_robot_move_near__seed098__step008,both_success,0.5,corners,59,0.7878787878787878,0.8813559322033898,7,7,11,0.1016949152542373,0.4745762711864407,0.9344262295081968,,,
cached_90,move_near,98,8,google_robot_move_near__seed098__step008,both_success,0.5,gaussian,59,0.6857142857142857,0.8135593220338984,11,11,4,0.01694915254237288,0.7966101694915254,0.9344262295081968,,,
cached_90,move_near,98,8,google_robot_move_near__seed098__step008,both_success,0.5,both,59,0.6619718309859155,0.7966101694915254,12,12,4,0.01694915254237288,0.7966101694915254,0.9344262295081968,,,
cached_90,move_near,98,40,google_robot_move_near__seed098__step040,both_success,1.0,raw,91,1.0,1.0,0,0,12,0.08791208791208792,0.6263736263736264,0.956989247311828,,,
cached_90,move_near,98,40,google_robot_move_near__seed098__step040,both_success,1.0,corners,91,1.0,1.0,0,0,12,0.08791208791208792,0.6263736263736264,0.956989247311828,,,
cached_90,move_near,98,40,google_robot_move_near__seed098__step040,both_success,1.0,gaussian,91,0.6851851851851852,0.8131868131868132,17,17,6,0.02197802197802198,0.6813186813186813,0.9157894736842105,,,
cached_90,move_near,98,40,google_robot_move_near__seed098__step040,both_success,1.0,both,91,0.6851851851851852,0.8131868131868132,17,17,6,0.02197802197802198,0.6813186813186813,0.9157894736842105,,,
cached_90,move_near,98,40,google_robot_move_near__seed098__step040,both_success,0.9,raw,91,0.9782608695652174,0.989010989010989,1,1,11,0.08791208791208792,0.6153846153846154,0.956989247311828,,,
cached_90,move_near,98,40,google_robot_move_near__seed098__step040,both_success,0.9,corners,91,0.9782608695652174,0.989010989010989,1,1,11,0.08791208791208792,0.6153846153846154,0.956989247311828,,,
cached_90,move_near,98,40,google_robot_move_near__seed098__step040,both_success,0.9,gaussian,91,0.6851851851851852,0.8131868131868132,17,17,6,0.02197802197802198,0.6813186813186813,0.9361702127659575,,,
cached_90,move_near,98,40,google_robot_move_near__seed098__step040,both_success,0.9,both,91,0.6851851851851852,0.8131868131868132,17,17,6,0.02197802197802198,0.6813186813186813,0.956989247311828,,,
cached_90,move_near,98,40,google_robot_move_near__seed098__step040,both_success,0.75,raw,91,0.9361702127659575,0.967032967032967,3,3,10,0.07692307692307693,0.6153846153846154,0.956989247311828,,,
cached_90,move_near,98,40,google_robot_move_near__seed098__step040,both_success,0.75,corners,91,0.956989247311828,0.978021978021978,2,2,12,0.10989010989010989,0.6153846153846154,0.9782608695652174,,,
cached_90,move_near,98,40,google_robot_move_near__seed098__step040,both_success,0.75,gaussian,91,0.6851851851851852,0.8131868131868132,17,17,6,0.02197802197802198,0.6813186813186813,1.0,,,
cached_90,move_near,98,40,google_robot_move_near__seed098__step040,both_success,0.75,both,91,0.6851851851851852,0.8131868131868132,17,17,6,0.02197802197802198,0.6813186813186813,1.0,,,
cached_90,move_near,98,40,google_robot_move_near__seed098__step040,both_success,0.5,raw,91,0.8958333333333334,0.945054945054945,5,5,13,0.0989010989010989,0.6043956043956044,0.956989247311828,,,
cached_90,move_near,98,40,google_robot_move_near__seed098__step040,both_success,0.5,corners,91,0.8958333333333334,0.945054945054945,5,5,15,0.13186813186813187,0.6043956043956044,0.9782608695652174,,,
cached_90,move_near,98,40,google_robot_move_near__seed098__step040,both_success,0.5,gaussian,91,0.6851851851851852,0.8131868131868132,17,17,6,0.02197802197802198,0.6813186813186813,0.9782608695652174,,,
cached_90,move_near,98,40,google_robot_move_near__seed098__step040,both_success,0.5,both,91,0.6851851851851852,0.8131868131868132,17,17,6,0.02197802197802198,0.6813186813186813,0.9782608695652174,,,
cached_90,move_near,98,71,google_robot_move_near__seed098__step071,both_success,1.0,raw,19,1.0,1.0,0,0,4,0.10526315789473684,0.5263157894736842,0.7272727272727273,,,
cached_90,move_near,98,71,google_robot_move_near__seed098__step071,both_success,1.0,corners,19,1.0,1.0,0,0,4,0.10526315789473684,0.5263157894736842,0.7272727272727273,,,
cached_90,move_near,98,71,google_robot_move_near__seed098__step071,both_success,1.0,gaussian,19,0.5833333333333334,0.7368421052631579,5,5,1,0.0,1.0,0.9,,,
cached_90,move_near,98,71,google_robot_move_near__seed098__step071,both_success,1.0,both,19,0.5833333333333334,0.7368421052631579,5,5,1,0.0,1.0,0.9,,,
cached_90,move_near,98,71,google_robot_move_near__seed098__step071,both_success,0.9,raw,19,0.9,0.9473684210526315,1,1,5,0.15789473684210525,0.47368421052631576,0.8095238095238095,,,
cached_90,move_near,98,71,google_robot_move_near__seed098__step071,both_success,0.9,corners,19,0.9,0.9473684210526315,1,1,5,0.15789473684210525,0.47368421052631576,0.8095238095238095,,,
cached_90,move_near,98,71,google_robot_move_near__seed098__step071,both_success,0.9,gaussian,19,0.6521739130434783,0.7894736842105263,4,4,1,0.0,1.0,0.7272727272727273,,,
cached_90,move_near,98,71,google_robot_move_near__seed098__step071,both_success,0.9,both,19,0.6521739130434783,0.7894736842105263,4,4,1,0.0,1.0,0.7272727272727273,,,
cached_90,move_near,98,71,google_robot_move_near__seed098__step071,both_success,0.75,raw,19,0.8095238095238095,0.8947368421052632,2,2,5,0.10526315789473684,0.47368421052631576,0.8095238095238095,,,
