dataset,task,seed,step,state_id,outcome_group,l11_success,sparse_success,alpha,spatial_mode,m_t,jaccard_l11,l11_retention,lost_from_l11,new_vs_l11,components,isolated_ratio,largest_component_ratio
initial_400,open_drawer,7,0,google_robot_open_drawer__seed007__initial,both_success,1,1,0.5,gaussian,37,0.6818181818181818,0.8108108108108109,7,7,5,0.05405405405405406,0.5675675675675675
initial_400,open_drawer,7,0,google_robot_open_drawer__seed007__initial,both_success,1,1,0.5,both,37,0.6818181818181818,0.8108108108108109,7,7,6,0.10810810810810811,0.5675675675675675
initial_400,open_drawer,8,0,google_robot_open_drawer__seed008__initial,sparse_win,0,1,1.0,raw,7,1.0,1.0,0,0,2,0.14285714285714285,0.8571428571428571
initial_400,open_drawer,8,0,google_robot_open_drawer__seed008__initial,sparse_win,0,1,1.0,corners,7,1.0,1.0,0,0,2,0.14285714285714285,0.8571428571428571
initial_400,open_drawer,8,0,google_robot_open_drawer__seed008__initial,sparse_win,0,1,1.0,gaussian,7,0.75,0.8571428571428571,1,1,1,0.0,1.0
initial_400,open_drawer,8,0,google_robot_open_drawer__seed008__initial,sparse_win,0,1,1.0,both,7,0.75,0.8571428571428571,1,1,1,0.0,1.0
initial_400,open_drawer,8,0,google_robot_open_drawer__seed008__initial,sparse_win,0,1,0.9,raw,7,1.0,1.0,0,0,2,0.14285714285714285,0.8571428571428571
initial_400,open_drawer,8,0,google_robot_open_drawer__seed008__initial,sparse_win,0,1,0.9,corners,7,1.0,1.0,0,0,2,0.14285714285714285,0.8571428571428571
initial_400,open_drawer,8,0,google_robot_open_drawer__seed008__initial,sparse_win,0,1,0.9,gaussian,7,0.75,0.8571428571428571,1,1,1,0.0,1.0
initial_400,open_drawer,8,0,google_robot_open_drawer__seed008__initial,sparse_win,0,1,0.9,both,7,0.75,0.8571428571428571,1,1,1,0.0,1.0
initial_400,open_drawer,8,0,google_robot_open_drawer__seed008__initial,sparse_win,0,1,0.75,raw,7,0.75,0.8571428571428571,1,1,1,0.0,1.0
initial_400,open_drawer,8,0,google_robot_open_drawer__seed008__initial,sparse_win,0,1,0.75,corners,7,0.75,0.8571428571428571,1,1,1,0.0,1.0
initial_400,open_drawer,8,0,google_robot_open_drawer__seed008__initial,sparse_win,0,1,0.75,gaussian,7,0.75,0.8571428571428571,1,1,1,0.0,1.0
initial_400,open_drawer,8,0,google_robot_open_drawer__seed008__initial,sparse_win,0,1,0.75,both,7,0.75,0.8571428571428571,1,1,1,0.0,1.0
initial_400,open_drawer,8,0,google_robot_open_drawer__seed008__initial,sparse_win,0,1,0.5,raw,7,0.5555555555555556,0.7142857142857143,2,2,4,0.42857142857142855,0.5714285714285714
initial_400,open_drawer,8,0,google_robot_open_drawer__seed008__initial,sparse_win,0,1,0.5,corners,7,0.5555555555555556,0.7142857142857143,2,2,4,0.42857142857142855,0.5714285714285714
initial_400,open_drawer,8,0,google_robot_open_drawer__seed008__initial,sparse_win,0,1,0.5,gaussian,7,0.75,0.8571428571428571,1,1,1,0.0,1.0
initial_400,open_drawer,8,0,google_robot_open_drawer__seed008__initial,sparse_win,0,1,0.5,both,7,0.75,0.8571428571428571,1,1,1,0.0,1.0
initial_400,open_drawer,9,0,google_robot_open_drawer__seed009__initial,both_fail,0,0,1.0,raw,37,1.0,1.0,0,0,8,0.13513513513513514,0.4864864864864865
initial_400,open_drawer,9,0,google_robot_open_drawer__seed009__initial,both_fail,0,0,1.0,corners,37,1.0,1.0,0,0,8,0.13513513513513514,0.4864864864864865
initial_400,open_drawer,9,0,google_robot_open_drawer__seed009__initial,both_fail,0,0,1.0,gaussian,37,0.8048780487804879,0.8918918918918919,4,4,3,0.02702702702702703,0.6756756756756757
initial_400,open_drawer,9,0,google_robot_open_drawer__seed009__initial,both_fail,0,0,1.0,both,37,0.8048780487804879,0.8918918918918919,4,4,3,0.02702702702702703,0.6756756756756757
initial_400,open_drawer,9,0,google_robot_open_drawer__seed009__initial,both_fail,0,0,0.9,raw,37,0.9473684210526315,0.972972972972973,1,1,8,0.13513513513513514,0.4864864864864865
initial_400,open_drawer,9,0,google_robot_open_drawer__seed009__initial,both_fail,0,0,0.9,corners,37,0.9473684210526315,0.972972972972973,1,1,8,0.13513513513513514,0.4864864864864865
