task,outcome_group,alpha,spatial_mode,n,jaccard_l11,l11_retention,lost_from_l11,new_vs_l11,components,isolated_ratio,largest_component_ratio,synonym_mask_jaccard,target_response,target_mask_response,target_correct_both
move_near,both_fail,0.75,raw,12,0.8478339208994888,0.9156191268552399,2.6666666666666665,2.6666666666666665,8.333333333333334,0.11339679088050499,0.4666824394533944,0.8756213675347905,0.03431961973126807,0.016666666666666666,1.0
move_near,both_fail,0.9,both,12,0.6516271072326587,0.7872236558456294,7.25,7.25,3.75,0.024237052620643084,0.7083629626895663,0.8927730957640877,0.030787625962146077,0.008333333333333333,1.0
move_near,both_fail,0.9,corners,12,0.9209645774722914,0.9573403813023286,1.25,1.25,7.916666666666667,0.1082383158105643,0.47012501767313714,0.8786058223961449,0.04154022073316691,0.008333333333333333,1.0
move_near,both_fail,0.9,gaussian,12,0.6516271072326587,0.7872236558456294,7.25,7.25,3.8333333333333335,0.02886668225027271,0.7083629626895663,0.8903692496102416,0.03065941132024344,0.008333333333333333,1.0
move_near,both_fail,0.9,raw,12,0.9209645774722914,0.9573403813023286,1.25,1.25,7.916666666666667,0.1082383158105643,0.47012501767313714,0.8786058223961449,0.04136120537135475,0.008333333333333333,1.0
move_near,both_fail,1.0,both,12,0.6445690048548456,0.7826464671008204,7.5,7.5,3.5833333333333335,0.020269640811550457,0.718998927601847,0.9117552237764294,0.03483182692417677,0.008333333333333333,1.0
move_near,both_fail,1.0,corners,12,0.9933333333333333,0.9965277777777778,0.08333333333333333,0.08333333333333333,8.083333333333334,0.11588287035572414,0.4495742067690654,0.8605848397976362,0.04743439124234013,0.008333333333333333,1.0
move_near,both_fail,1.0,gaussian,12,0.6445690048548456,0.7826464671008204,7.5,7.5,3.6666666666666665,0.02489927044118009,0.718998927601847,0.9082483946882048,0.03468764519469223,0.008333333333333333,1.0
move_near,both_fail,1.0,raw,12,1.0,1.0,0.0,0.0,8.166666666666666,0.11935509257794635,0.4461019845468432,0.8667386859514825,0.04723039944222679,0.008333333333333333,1.0
move_near,both_success,0.5,both,15,0.633920629616997,0.7735419089713294,10.133333333333333,10.133333333333333,4.333333333333333,0.027412221089450264,0.7120583347182377,0.9367335907444827,0.017385917548074316,0.018038163387000594,1.0
move_near,both_success,0.5,corners,15,0.7727175056866432,0.8686025925646119,5.4,5.4,10.4,0.12892130402581584,0.48043804338853974,0.9282496911071371,0.020920325267195714,0.043082886106141915,1.0
move_near,both_success,0.5,gaussian,15,0.6355034599322218,0.7746718524741542,10.066666666666666,10.066666666666666,4.333333333333333,0.023678052137890013,0.7102565329164359,0.940062425652265,0.01735866539673169,0.018038163387000594,1.0
move_near,both_success,0.5,raw,15,0.7727175056866432,0.8686025925646119,5.4,5.4,10.266666666666667,0.12492170002621185,0.47863624158673795,0.9280803896609211,0.020887684790423834,0.043082886106141915,1.0
move_near,both_success,0.75,both,15,0.662332688988505,0.7954579960655569,9.266666666666667,9.266666666666667,4.6,0.028330873272005386,0.7230702102425294,0.9190701193066297,0.023591486865608365,0.024448419797257006,1.0
move_near,both_success,0.75,corners,15,0.8715933666564987,0.9305585322843349,2.933333333333333,2.933333333333333,9.6,0.10891618154180378,0.49671161310186485,0.9241004326757333,0.028939724241202728,0.04949314251639833,1.0
move_near,both_success,0.75,gaussian,15,0.6678783169893759,0.7995686680023159,9.066666666666666,9.066666666666666,4.666666666666667,0.026775009107445572,0.718157114658837,0.9092553286648474,0.023552960340854245,0.024448419797257006,1.0
move_near,both_success,0.75,raw,15,0.8670430378577142,0.9280241297499324,3.066666666666667,3.066666666666667,9.4,0.103114775740398,0.49784155660468965,0.9226823245255074,0.028893293821851327,0.04949314251639833,1.0
move_near,both_success,0.9,both,15,0.6859575530220803,0.8125069560322534,8.533333333333333,8.533333333333333,4.733333333333333,0.03506935218439734,0.7537575102187877,0.9046422911116196,0.028175432265281703,0.043679189028026234,1.0
move_near,both_success,0.9,corners,15,0.9305345868748301,0.9634870705131567,1.4666666666666666,1.4666666666666666,9.4,0.11552003778657181,0.5028746989482467,0.9194446808808742,0.03488523147532227,0.04427549194991055,1.0
move_near,both_success,0.9,gaussian,15,0.6876341656961353,0.8136368995350782,8.466666666666667,8.466666666666667,4.8,0.03506935218439734,0.7413281316877142,0.9055756440796848,0.02812856612910271,0.043679189028026234,1.0
move_near,both_success,0.9,raw,15,0.9327568090970524,0.9646170140159817,1.4,1.4,9.4,0.11552003778657181,0.5028746989482467,0.9159359089510496,0.03482870734230365,0.04427549194991055,1.0
move_near,both_success,1.0,both,15,0.6948016568108114,0.8188266833841337,8.266666666666667,8.266666666666667,4.6,0.037484604646161435,0.7597795674213902,0.8887605585495472,0.03170282421048328,0.05649970184853906,1.0
move_near,both_success,1.0,corners,15,0.9977777777777778,0.9988700564971751,0.06666666666666667,0.06666666666666667,9.333333333333334,0.10752439543537698,0.5120413289456567,0.9081011894534847,0.03947277203588306,0.05008944543828265,1.0
move_near,both_success,1.0,gaussian,15,0.6964303662656078,0.8199566268869586,8.2,8.2,4.666666666666667,0.04108820824976503,0.7597795674213902,0.8908405867533195,0.031649578988928194,0.05649970184853906,1.0
