task,seed,success,steps,mean_m_t,std_m_t,cv_m_t,min_m_t,max_m_t,range_m_t,mean_abs_step_change,early_mean_m_t,middle_mean_m_t,late_mean_m_t
close_drawer,191,1,113,35.32743362831859,12.254991742848144,0.3468973113581764,4,55,51,7.633928571428571,26.236842105263158,37.421052631578945,42.513513513513516
close_drawer,192,1,113,28.265486725663717,11.692231517569402,0.4136575333391805,4,58,54,9.446428571428571,22.973684210526315,30.31578947368421,31.594594594594593
close_drawer,193,1,113,38.29203539823009,15.521427618817174,0.4053434991741023,6,71,65,8.0625,23.81578947368421,41.31578947368421,50.054054054054056
close_drawer,194,1,113,37.10619469026549,12.508660951275086,0.33710438528358805,3,53,50,10.732142857142858,34.1578947368421,37.89473684210526,39.32432432432432
close_drawer,195,1,113,39.8141592920354,11.6227947171312,0.291926162043971,5,59,54,7.3125,31.973684210526315,43.026315789473685,44.567567567567565
close_drawer,196,0,113,21.353982300884955,8.943203632978827,0.41880729818757045,4,47,43,7.482142857142857,23.842105263157894,21.63157894736842,18.513513513513512
close_drawer,197,1,113,35.32743362831859,12.254991742848144,0.3468973113581764,4,55,51,7.633928571428571,26.236842105263158,37.421052631578945,42.513513513513516
close_drawer,198,1,113,28.265486725663717,11.692231517569402,0.4136575333391805,4,58,54,9.446428571428571,22.973684210526315,30.31578947368421,31.594594594594593
close_drawer,199,1,113,36.65486725663717,8.77523658910508,0.2394016742078402,6,58,52,6.401785714285714,30.473684210526315,39.578947368421055,40.0
pick_coke_can,100,0,80,20.975,8.3710438417201,0.39909624990322284,6,45,39,6.341772151898734,22.444444444444443,21.40740740740741,19.0
pick_coke_can,101,1,80,33.0375,15.733279815410391,0.47622489036429483,4,80,76,15.89873417721519,28.703703703703702,30.14814814814815,40.53846153846154
pick_coke_can,102,1,80,18.9125,12.899800143800679,0.6820779983503332,5,51,46,9.341772151898734,16.88888888888889,15.0,25.076923076923077
pick_coke_can,103,0,80,30.15,12.819028824368873,0.42517508538536897,6,75,69,14.164556962025317,32.333333333333336,26.814814814814813,31.346153846153847
pick_coke_can,104,0,80,26.675,18.78880983457973,0.7043602562166722,6,79,73,17.746835443037973,22.037037037037038,33.55555555555556,24.346153846153847
pick_coke_can,105,0,80,23.1,14.173566946961516,0.6135743267082907,4,68,64,13.594936708860759,23.333333333333332,22.77777777777778,23.192307692307693
pick_coke_can,106,0,80,26.2375,19.41600097213636,0.7400095653982414,6,80,74,16.82278481012658,29.14814814814815,20.40740740740741,29.26923076923077
pick_coke_can,107,0,80,30.725,23.373582844741623,0.760734999015187,5,71,66,22.49367088607595,21.37037037037037,36.81481481481482,34.11538461538461
pick_coke_can,108,0,80,22.2625,10.261266673759142,0.46092157995549204,6,58,52,8.151898734177216,31.14814814814815,17.666666666666668,17.807692307692307
pick_coke_can,109,1,80,41.65,19.29902847295687,0.46336202816222977,5,73,68,19.60759493670886,30.925925925925927,54.111111111111114,39.84615384615385
pick_coke_can,110,1,80,26.45,15.534558249271203,0.5873178922219737,6,75,69,14.291139240506329,18.62962962962963,31.88888888888889,28.923076923076923
pick_coke_can,111,0,80,19.0625,4.788903188622631,0.2512211508785642,8,26,18,3.3164556962025316,19.11111111111111,21.74074074074074,16.23076923076923
pick_coke_can,112,1,80,22.325,7.132276985647711,0.3194748929741416,12,41,29,5.658227848101266,19.85185185185185,21.88888888888889,25.346153846153847
pick_coke_can,113,0,80,26.0,6.218922736294446,0.23918933601132483,10,39,29,5.594936708860759,23.22222222222222,26.48148148148148,28.384615384615383
pick_coke_can,114,0,80,19.4,10.258654882585729,0.5287966434322541,4,56,52,8.367088607594937,22.962962962962962,17.37037037037037,17.807692307692307
pick_coke_can,115,1,80,19.85,11.909135149119772,0.5999564306861346,7,72,65,10.253164556962025,20.703703703703702,18.59259259259259,20.26923076923077
pick_coke_can,116,0,80,15.7,7.032780389006897,0.4479477954781463,6,38,32,6.253164556962025,19.185185185185187,14.666666666666666,13.153846153846153
pick_coke_can,117,0,80,36.7625,21.360152006715683,0.581030996442453,3,77,74,15.518987341772151,23.25925925925926,37.44444444444444,50.07692307692308
pick_coke_can,118,1,80,21.8125,4.51412713046498,0.20695138707002775,14,35,21,1.7848101265822784,16.85185185185185,23.185185185185187,25.53846153846154
pick_coke_can,119,0,80,19.65,4.806506007486103,0.24460590368886023,9,34,25,3.9873417721518987,18.40740740740741,18.37037037037037,22.26923076923077
pick_coke_can,120,0,80,19.5875,4.346532382255997,0.2219033762479131,13,29,16,4.063291139240507,18.555555555555557,19.666666666666668,20.576923076923077
pick_coke_can,121,1,80,42.875,18.28344538099972,0.4264360438717136,5,72,67,15.253164556962025,36.55555555555556,46.148148148148145,46.03846153846154
pick_coke_can,122,1,80,22.525,11.64793436622992,0.5171114036062118,2,52,50,13.329113924050633,24.0,18.48148148148148,25.192307692307693
pick_coke_can,123,0,80,21.5375,12.760234862650451,0.5924659251375717,6,77,71,12.278481012658228,23.77777777777778,15.851851851851851,25.115384615384617
pick_coke_can,124,1,80,24.1375,10.147344172245267,0.4203974799480173,9,70,61,9.531645569620252,25.666666666666668,22.77777777777778,23.96153846153846
pick_coke_can,125,0,80,24.475,16.76452728233039,0.6849653639358688,6,85,79,16.139240506329113,15.925925925925926,26.85185185185185,30.884615384615383
pick_coke_can,126,1,80,42.975,19.826103374087406,0.46134039264892157,5,70,65,16.860759493670887,31.22222222222222,55.44444444444444,42.23076923076923
pick_coke_can,127,0,80,14.9125,6.665571524633128,0.4469788113752307,11,52,41,4.924050632911392,15.148148148148149,14.703703703703704,14.884615384615385
pick_coke_can,128,0,80,20.1875,5.650428634183428,0.27989739364376115,5,39,34,4.974683544303797,20.77777777777778,19.74074074074074,20.03846153846154
pick_coke_can,129,1,80,22.6375,7.640752171743302,0.3375263245386329,8,37,29,8.50632911392405,21.074074074074073,25.0,21.807692307692307
pick_coke_can,130,0,80,37.1875,21.558115496258015,0.579714030151476,5,73,68,23.126582278481013,31.333333333333332,32.96296296296296,47.65384615384615
pick_coke_can,131,1,80,21.0,9.714679613862724,0.4626037911363202,6,57,51,8.949367088607595,20.925925925925927,23.37037037037037,18.615384615384617
pick_coke_can,132,1,80,35.05,17.24739110706312,0.49207963215586653,6,74,68,13.164556962025317,25.703703703703702,43.925925925925924,35.53846153846154
pick_coke_can,133,0,80,24.0,11.770726400694224,0.49044693336225936,6,72,66,10.582278481012658,22.296296296296298,19.814814814814813,30.115384615384617
pick_coke_can,134,0,80,25.725,13.64274074370689,0.5303300580644077,1,61,60,13.60759493670886,19.22222222222222,29.666666666666668,28.384615384615383
pick_coke_can,135,0,80,22.5,6.178592072632728,0.27460409211701015,12,30,18,5.886075949367089,23.11111111111111,22.333333333333332,22.03846153846154
pick_coke_can,136,0,80,42.125,20.285077643430405,0.4815448698737188,2,78,76,18.11392405063291,36.2962962962963,35.074074074074076,55.5
pick_coke_can,137,0,80,21.525,9.189634105882563,0.426928413745996,8,36,28,9.367088607594937,20.88888888888889,23.59259259259259,20.03846153846154
pick_coke_can,138,0,80,17.3875,13.197058147556977,0.7589968740507248,6,79,73,13.037974683544304,18.25925925925926,15.148148148148149,18.807692307692307
pick_coke_can,139,1,80,23.575,15.552150172886064,0.6596882363896528,5,68,63,17.620253164556964,21.85185185185185,23.11111111111111,25.846153846153847
pick_coke_can,140,1,80,17.1125,8.811914874191647,0.5149402410046251,6,75,69,5.556962025316456,18.51851851851852,15.407407407407407,17.423076923076923
pick_coke_can,141,0,80,25.5375,5.567638076419838,0.21801813319314098,12,33,21,5.7215189873417724,24.185185185185187,25.666666666666668,26.807692307692307
pick_coke_can,142,0,80,22.1375,11.591746794594851,0.5236249257863287,6,56,50,12.379746835443038,22.85185185185185,19.88888888888889,23.73076923076923
pick_coke_can,143,0,80,27.05,13.261692953767254,0.49026591326311475,6,66,60,13.531645569620252,24.814814814814813,28.74074074074074,27.615384615384617
pick_coke_can,144,0,80,13.5625,11.641352745707863,0.8583485895452803,5,44,39,8.531645569620252,22.814814814814813,10.444444444444445,7.1923076923076925
pick_coke_can,145,1,80,26.65,13.361418337886139,0.5013665417593298,5,61,56,12.924050632911392,28.962962962962962,26.333333333333332,24.576923076923077
pick_coke_can,146,1,80,18.35,10.056216982543683,0.5480227238443424,2,48,46,6.7594936708860756,14.25925925925926,20.037037037037038,20.846153846153847
pick_coke_can,147,1,80,25.5875,13.06588472894201,0.5106354559430194,5,65,60,9.60759493670886,29.37037037037037,28.185185185185187,18.96153846153846
pick_coke_can,148,1,80,25.8625,13.716544526592694,0.5303642156246571,4,63,59,14.075949367088608,19.037037037037038,29.25925925925926,29.423076923076923
pick_coke_can,149,0,80,20.6125,13.16006625173293,0.6384507581192446,5,81,76,11.772151898734178,24.703703703703702,19.0,18.03846153846154
pick_coke_can,150,0,80,25.225,7.679477521290104,0.3044391485149694,12,48,36,6.69620253164557,25.703703703703702,24.333333333333332,25.653846153846153
pick_coke_can,151,0,80,23.0125,7.741921192443127,0.3364224309589626,6,40,34,7.620253164556962,26.555555555555557,21.77777777777778,20.615384615384617
pick_coke_can,152,0,80,26.25,10.79177927869172,0.4111154010930179,6,58,52,10.962025316455696,26.22222222222222,27.25925925925926,25.23076923076923
pick_coke_can,153,1,80,21.425,7.451132464263402,0.3477774779119441,12,46,34,8.0,21.88888888888889,20.666666666666668,21.73076923076923
pick_coke_can,154,1,80,30.3125,14.890092133697495,0.4912195343075462,6,80,74,14.721518987341772,25.962962962962962,31.48148148148148,33.61538461538461
pick_coke_can,155,0,80,35.6375,15.486480999568624,0.4345557628781094,3,88,85,13.835443037974683,28.296296296296298,38.148148148148145,40.65384615384615
pick_coke_can,156,1,80,16.8,5.102450391723569,0.30371728522164104,6,30,24,4.3544303797468356,14.037037037037036,18.88888888888889,17.5
pick_coke_can,157,0,80,24.1875,7.426462398073527,0.30703720508831117,10,34,24,8.025316455696203,22.77777777777778,26.074074074074073,23.692307692307693
pick_coke_can,158,0,80,17.3125,12.306089701850869,0.7108210658108806,1,62,61,8.886075949367088,24.51851851851852,14.0,13.26923076923077
pick_coke_can,159,0,80,27.975,10.707444839923296,0.3827504857881428,12,41,29,8.848101265822784,27.925925925925927,28.74074074074074,27.23076923076923
pick_coke_can,160,0,80,23.1125,7.867645375205976,0.34040650622849006,7,39,32,5.379746835443038,29.59259259259259,20.22222222222222,19.384615384615383
pick_coke_can,161,0,80,24.1625,12.26625834352106,0.5076568378073899,7,80,73,9.89873417721519,24.296296296296298,28.59259259259259,19.423076923076923
pick_coke_can,162,1,80,18.7875,10.37990095087617,0.5524897379042538,4,55,51,11.354430379746836,18.48148148148148,17.962962962962962,19.96153846153846
pick_coke_can,163,0,80,19.9125,14.20492322224939,0.7133671423602957,4,71,67,12.455696202531646,27.48148148148148,20.11111111111111,11.846153846153847
pick_coke_can,164,0,80,23.25,15.692753104538413,0.6749571227758457,5,76,71,15.240506329113924,19.037037037037038,29.0,21.653846153846153
pick_coke_can,165,1,80,19.9375,7.316665480258067,0.36698008678410365,12,35,23,1.5569620253164558,27.40740740740741,16.037037037037038,16.23076923076923
pick_coke_can,166,0,80,23.1375,9.014909525336346,0.3896233182209118,6,40,34,7.3164556962025316,29.62962962962963,20.51851851851852,19.115384615384617
pick_coke_can,167,0,80,32.3375,6.2388776033834805,0.19293011529597157,12,41,29,5.430379746835443,29.666666666666668,32.96296296296296,34.46153846153846
pick_coke_can,168,0,80,31.95,22.158463394378227,0.6935356304969711,1,85,84,19.10126582278481,27.925925925925927,25.88888888888889,42.42307692307692
pick_coke_can,169,0,80,27.125,18.454250865315558,0.6803410457259191,3,81,78,16.227848101265824,19.14814814814815,24.59259259259259,38.03846153846154
pick_coke_can,170,0,80,14.775,7.7861656160140855,0.5269824444002765,2,45,43,6.050632911392405,16.296296296296298,12.962962962962964,15.076923076923077
pick_coke_can,171,0,80,26.0625,13.788893855201003,0.5290702678254582,5,58,53,12.936708860759493,23.037037037037038,26.11111111111111,29.153846153846153
pick_coke_can,172,0,80,37.0125,15.645681313065277,0.42271344310882203,4,65,61,12.924050632911392,27.14814814814815,43.48148148148148,40.53846153846154
pick_coke_can,173,1,80,31.375,17.548771324511584,0.5593233888290545,2,69,67,16.329113924050635,26.703703703703702,37.074074074074076,30.307692307692307
pick_coke_can,174,0,80,24.9125,16.918328633467315,0.679110030445251,6,78,72,15.518987341772151,18.296296296296298,29.25925925925926,27.26923076923077
pick_coke_can,175,0,80,22.7375,10.328048883985783,0.4542297475089954,5,68,63,9.60759493670886,22.814814814814813,23.74074074074074,21.615384615384617
pick_coke_can,176,1,80,25.75,15.980065706998829,0.6205850759999545,5,87,82,11.012658227848101,17.925925925925927,26.185185185185187,33.42307692307692
pick_coke_can,177,0,80,28.875,10.84017412221778,0.37541728561793175,7,50,43,9.08860759493671,31.48148148148148,27.48148148148148,27.615384615384617
pick_coke_can,178,0,80,37.1125,22.22723203077702,0.5989149755682592,4,74,70,16.27848101265823,19.25925925925926,47.74074074074074,44.61538461538461
pick_coke_can,179,0,80,23.2375,7.5020726302802485,0.3228433622498224,9,40,31,7.151898734177215,25.296296296296298,23.296296296296298,21.03846153846154
pick_coke_can,180,0,80,25.5875,12.915778867338974,0.5047690812833991,5,80,75,12.367088607594937,23.0,23.74074074074074,30.192307692307693
pick_coke_can,181,0,80,36.0875,21.35017198408481,0.5916223618728039,3,82,79,20.924050632911392,26.77777777777778,43.407407407407405,38.15384615384615
pick_coke_can,182,0,80,26.3,19.58787890507801,0.7447862701550574,5,71,66,17.860759493670887,22.62962962962963,24.703703703703702,31.76923076923077
