task,seed,stage,category,step,m,swap_count,historical_mask_jaccard,residual_cosine,action_l2,action_changed_dims,feature_norm_delta,residual_norm_delta,component_delta,isolated_ratio_delta,max_single_swap_action_l2,sum_single_swap_action_l2,interaction_only_action_change
close_drawer,28,middle,harm,56,35,0,0.8055555555555556,1.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0
close_drawer,28,late,harm,99,35,1,0.5882352941176471,0.9971951004204732,0.0,0,-0.05242919921875,-0.3994140625,-2,-0.02857142857142857,0.0,0.0,0
close_drawer,29,early,both_success,13,21,1,1.0,0.9971601620152837,0.0,0,1.5180587768554688,-0.9922637939453125,0,0.0,0.0,0.0,0
close_drawer,29,middle,both_success,56,44,1,0.6730769230769231,0.9864957106109733,0.0,0,0.2082061767578125,-4.4726715087890625,-1,0.0,0.0,0.0,0
close_drawer,29,late,both_success,99,46,1,0.6851851851851852,0.9991478194629816,0.0,0,0.7769775390625,-1.4147796630859375,-1,-0.021739130434782608,0.0,0.0,0
close_drawer,30,early,both_success,13,27,1,0.8181818181818182,0.9841695392564781,0.011071365759653173,1,-1.563385009765625,-1.4212646484375,1,0.07407407407407407,0.011071365759653173,0.011071365759653173,0
close_drawer,30,middle,both_success,56,42,3,0.7727272727272727,0.9887707770289975,0.0031590756598640912,1,8.657974243164062,-1.3026123046875,-1,0.0,0.0031590756598640912,0.009477226979592274,0
close_drawer,30,late,both_success,99,34,0,0.11764705882352941,1.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0
close_drawer,31,early,both_success,13,21,0,1.0,0.9999999999999999,0.0,0,0.0,0.0,0,0.0,0.0,0,0
close_drawer,31,middle,both_success,56,16,0,0.26229508196721313,1.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0
close_drawer,31,late,both_success,99,34,1,0.6296296296296297,0.9981838662404092,0.0,0,2.183837890625,1.0922698974609375,0,0.0,0.0,0.0,0
close_drawer,32,early,both_success,13,4,1,1.0,0.8766697553777598,0.0,0,9.291889190673828,-14.650146484375,-1,-0.5,0.0,0.0,0
close_drawer,32,middle,both_success,56,23,1,0.4339622641509434,0.9777340088546754,0.0,0,-1.1495361328125,1.9874420166015625,0,0.0,0.0,0.0,0
close_drawer,32,late,both_success,99,18,0,0.8095238095238095,1.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0
close_drawer,33,early,both_success,13,26,1,0.7692307692307693,0.9970888135287865,0.027239863989725967,2,1.934112548828125,0.2819671630859375,2,0.07692307692307693,0.027239863989725967,0.027239863989725967,0
close_drawer,33,middle,both_success,56,47,0,0.84,0.9999999999999999,0.0,0,0.0,0.0,0,0.0,0.0,0,0
close_drawer,33,late,both_success,99,48,2,0.6875,0.9866475330818867,0.0,0,-2.64520263671875,4.732513427734375,0,0.0,0.0,0.0,0
close_drawer,34,early,both_fail,13,23,0,1.0,1.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0
close_drawer,34,middle,both_fail,56,28,0,1.0,1.0000000000000002,0.0,0,0.0,0.0,0,0.0,0.0,0,0
close_drawer,34,late,both_fail,99,22,1,1.0,0.9819627897027275,0.0,0,0.17926788330078125,-3.6586456298828125,2,0.09090909090909091,0.0,0.0,0
close_drawer,35,early,both_success,13,6,0,1.0,1.0000000000000002,0.0,0,0.0,0.0,0,0.0,0.0,0,0
close_drawer,35,middle,both_success,56,51,1,0.9807692307692307,0.9969298943704838,0.0,0,0.4271697998046875,-0.4767303466796875,-1,-0.0196078431372549,0.0,0.0,0
close_drawer,35,late,both_success,99,40,1,0.7547169811320755,0.9827059883360414,0.03705991518146848,1,-4.8099822998046875,3.4607696533203125,0,0.0,0.03705991518146848,0.03705991518146848,0
close_drawer,36,early,both_fail,13,19,0,1.0,1.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0
close_drawer,36,middle,both_fail,56,48,0,0.9591836734693877,0.9999999999999999,0.0,0,0.0,0.0,0,0.0,0.0,0,0
close_drawer,36,late,both_fail,99,44,1,0.06818181818181818,0.8751367114917661,0.07695394414223133,2,9.728042602539062,-5.2435150146484375,0,0.0,0.07695394414223133,0.07695394414223133,0
close_drawer,37,early,both_success,13,27,1,0.84375,0.9630533170276663,0.05166295780856683,2,3.617034912109375,6.2471160888671875,-1,0.0,0.05166295780856683,0.05166295780856683,0
close_drawer,37,middle,both_success,56,4,0,0.12121212121212122,1.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0
close_drawer,37,late,both_success,99,31,0,0.6521739130434783,0.9999999999999999,0.0,0,0.0,0.0,0,0.0,0.0,0,0
close_drawer,38,early,both_success,13,37,1,0.7872340425531915,0.9024361149249414,0.03159075659864086,1,1.2916259765625,-9.6395263671875,0,0.0,0.03159075659864086,0.03159075659864086,0
