state_id,task,seed,source_step,phase,split,arm,m,standard_overlap,v1_overlap,num_components,isolated_token_ratio,largest_component_ratio,feature_perturbation_total,selected_mean_relative_perturbation,centered_residual_norm,winner_flip_count
google_robot_move_near__seed031__step040,google_robot_move_near,31,40,middle,exploration,standard_shr,45,1.0,0.4666666666666667,4,0.044444444444444446,0.6666666666666666,199.51295471191406,1.0430209636688232,157.39996337890625,1
google_robot_move_near__seed031__step040,google_robot_move_near,31,40,middle,exploration,prompt_v1,45,0.4666666666666667,1.0,11,0.08888888888888889,0.35555555555555557,151.25741577148438,0.8313209414482117,142.95416259765625,0
google_robot_move_near__seed031__step040,google_robot_move_near,31,40,middle,exploration,prompt_single,45,0.6666666666666666,0.6888888888888889,9,0.08888888888888889,0.3333333333333333,156.46388244628906,0.8543300032615662,160.03416442871094,1
google_robot_move_near__seed031__step040,google_robot_move_near,31,40,middle,exploration,prompt_sparse,45,0.6666666666666666,0.7333333333333333,9,0.1111111111111111,0.3333333333333333,159.14962768554688,0.8885811567306519,165.6652374267578,1
google_robot_move_near__seed031__step071,google_robot_move_near,31,71,late,exploration,standard_shr,35,1.0,0.4,2,0.0,0.6285714285714286,171.92578125,0.98969966173172,150.60369873046875,1
google_robot_move_near__seed031__step071,google_robot_move_near,31,71,late,exploration,prompt_v1,35,0.4,1.0,10,0.08571428571428572,0.2571428571428571,133.64735412597656,0.8400366902351379,92.44957733154297,1
google_robot_move_near__seed031__step071,google_robot_move_near,31,71,late,exploration,prompt_single,35,0.6285714285714286,0.5714285714285714,8,0.14285714285714285,0.5142857142857142,140.964111328125,0.8644179701805115,166.2842559814453,1
google_robot_move_near__seed031__step071,google_robot_move_near,31,71,late,exploration,prompt_sparse,35,0.5714285714285714,0.6285714285714286,13,0.2571428571428571,0.37142857142857144,133.32070922851562,0.8437394499778748,162.4298553466797,2
google_robot_move_near__seed073__step008,google_robot_move_near,73,8,early,exploration,standard_shr,39,1.0,0.38461538461538464,4,0.0,0.4358974358974359,177.2412872314453,0.9794977903366089,156.43296813964844,1
google_robot_move_near__seed073__step008,google_robot_move_near,73,8,early,exploration,prompt_v1,39,0.38461538461538464,1.0,13,0.15384615384615385,0.20512820512820512,139.48104858398438,0.870849609375,154.11129760742188,1
google_robot_move_near__seed073__step008,google_robot_move_near,73,8,early,exploration,prompt_single,39,0.4358974358974359,0.6666666666666666,7,0.05128205128205128,0.3333333333333333,146.53236389160156,0.9159489274024963,178.98782348632812,2
google_robot_move_near__seed073__step008,google_robot_move_near,73,8,early,exploration,prompt_sparse,39,0.38461538461538464,0.7435897435897436,8,0.10256410256410256,0.358974358974359,143.1819305419922,0.9354580640792847,175.2321319580078,2
google_robot_move_near__seed073__step040,google_robot_move_near,73,40,middle,exploration,standard_shr,69,1.0,0.14492753623188406,6,0.028985507246376812,0.4057971014492754,249.13592529296875,0.8456509113311768,191.63417053222656,1
google_robot_move_near__seed073__step040,google_robot_move_near,73,40,middle,exploration,prompt_v1,69,0.14492753623188406,1.0,14,0.10144927536231885,0.42028985507246375,190.06008911132812,0.8423964977264404,170.58753967285156,3
google_robot_move_near__seed073__step040,google_robot_move_near,73,40,middle,exploration,prompt_single,69,0.2608695652173913,0.6956521739130435,11,0.07246376811594203,0.463768115942029,212.27957153320312,0.9069515466690063,209.15069580078125,0
google_robot_move_near__seed073__step040,google_robot_move_near,73,40,middle,exploration,prompt_sparse,69,0.2463768115942029,0.7681159420289855,13,0.11594202898550725,0.4057971014492754,209.32931518554688,0.9077555537223816,208.2969512939453,0
google_robot_move_near__seed073__step071,google_robot_move_near,73,71,late,exploration,standard_shr,46,1.0,0.3695652173913043,3,0.021739130434782608,0.5869565217391305,199.98159790039062,0.8877155184745789,158.29922485351562,0
google_robot_move_near__seed073__step071,google_robot_move_near,73,71,late,exploration,prompt_v1,46,0.3695652173913043,1.0,12,0.10869565217391304,0.4782608695652174,155.50308227539062,0.8379992842674255,130.20370483398438,0
google_robot_move_near__seed073__step071,google_robot_move_near,73,71,late,exploration,prompt_single,46,0.5217391304347826,0.6956521739130435,8,0.08695652173913043,0.6521739130434783,169.5807647705078,0.9204543828964233,150.45703125,0
google_robot_move_near__seed073__step071,google_robot_move_near,73,71,late,exploration,prompt_sparse,46,0.5434782608695652,0.7608695652173914,8,0.08695652173913043,0.6304347826086957,172.8594970703125,0.9461091756820679,149.9978790283203,0
google_robot_move_near__seed089__step008,google_robot_move_near,89,8,early,validation,standard_shr,38,1.0,0.2631578947368421,4,0.0,0.42105263157894735,171.60475158691406,0.9640706777572632,190.99276733398438,1
google_robot_move_near__seed089__step008,google_robot_move_near,89,8,early,validation,prompt_v1,38,0.2631578947368421,1.0,14,0.13157894736842105,0.15789473684210525,132.15919494628906,0.8502710461616516,151.31503295898438,2
google_robot_move_near__seed089__step008,google_robot_move_near,89,8,early,validation,prompt_single,38,0.39473684210526316,0.6578947368421053,9,0.07894736842105263,0.23684210526315788,139.13668823242188,0.8463028073310852,169.1040802001953,3
google_robot_move_near__seed089__step008,google_robot_move_near,89,8,early,validation,prompt_sparse,38,0.34210526315789475,0.7105263157894737,10,0.10526315789473684,0.2631578947368421,133.06292724609375,0.849555253982544,175.15281677246094,2
google_robot_move_near__seed089__step040,google_robot_move_near,89,40,middle,validation,standard_shr,31,1.0,0.3870967741935484,2,0.0,0.7419354838709677,151.91812133789062,1.0046902894973755,241.6292266845703,2
google_robot_move_near__seed089__step040,google_robot_move_near,89,40,middle,validation,prompt_v1,31,0.3870967741935484,1.0,14,0.25806451612903225,0.2903225806451613,117.4122543334961,0.8291207551956177,176.01950073242188,4
google_robot_move_near__seed089__step040,google_robot_move_near,89,40,middle,validation,prompt_single,31,0.6129032258064516,0.6451612903225806,9,0.1935483870967742,0.45161290322580644,123.5342788696289,0.8755360841751099,189.99534606933594,2
google_robot_move_near__seed089__step040,google_robot_move_near,89,40,middle,validation,prompt_sparse,31,0.6451612903225806,0.6129032258064516,6,0.0967741935483871,0.6129032258064516,129.38169860839844,0.9426020979881287,207.89552307128906,1
google_robot_move_near__seed089__step071,google_robot_move_near,89,71,late,validation,standard_shr,46,1.0,0.2608695652173913,3,0.021739130434782608,0.5,199.97361755371094,0.86649090051651,202.0065460205078,3
google_robot_move_near__seed089__step071,google_robot_move_near,89,71,late,validation,prompt_v1,46,0.2608695652173913,1.0,13,0.13043478260869565,0.43478260869565216,146.9209747314453,0.8412878513336182,188.8245086669922,2
google_robot_move_near__seed089__step071,google_robot_move_near,89,71,late,validation,prompt_single,46,0.41304347826086957,0.7391304347826086,9,0.06521739130434782,0.4782608695652174,157.77720642089844,0.9130359292030334,216.97193908691406,1
google_robot_move_near__seed089__step071,google_robot_move_near,89,71,late,validation,prompt_sparse,46,0.41304347826086957,0.782608695652174,10,0.10869565217391304,0.4782608695652174,157.8524169921875,0.9157913327217102,215.91905212402344,2
google_robot_move_near__seed095__step008,google_robot_move_near,95,8,early,exploration,standard_shr,39,1.0,0.38461538461538464,4,0.0,0.4358974358974359,177.2412872314453,0.9794977903366089,156.43296813964844,1
google_robot_move_near__seed095__step008,google_robot_move_near,95,8,early,exploration,prompt_v1,39,0.38461538461538464,1.0,13,0.15384615384615385,0.20512820512820512,139.48104858398438,0.870849609375,154.11129760742188,1
google_robot_move_near__seed095__step008,google_robot_move_near,95,8,early,exploration,prompt_single,39,0.4358974358974359,0.6666666666666666,7,0.05128205128205128,0.3333333333333333,146.53236389160156,0.9159489274024963,178.98782348632812,2
google_robot_move_near__seed095__step008,google_robot_move_near,95,8,early,exploration,prompt_sparse,39,0.38461538461538464,0.7435897435897436,8,0.10256410256410256,0.358974358974359,143.1819305419922,0.9354580640792847,175.2321319580078,2
google_robot_move_near__seed095__step040,google_robot_move_near,95,40,middle,exploration,standard_shr,69,1.0,0.14492753623188406,6,0.028985507246376812,0.4057971014492754,249.13592529296875,0.8456509113311768,191.63417053222656,1
google_robot_move_near__seed095__step040,google_robot_move_near,95,40,middle,exploration,prompt_v1,69,0.14492753623188406,1.0,14,0.10144927536231885,0.42028985507246375,190.06008911132812,0.8423964977264404,170.58753967285156,3
google_robot_move_near__seed095__step040,google_robot_move_near,95,40,middle,exploration,prompt_single,69,0.2608695652173913,0.6956521739130435,11,0.07246376811594203,0.463768115942029,212.27957153320312,0.9069515466690063,209.15069580078125,0
google_robot_move_near__seed095__step040,google_robot_move_near,95,40,middle,exploration,prompt_sparse,69,0.2463768115942029,0.7681159420289855,13,0.11594202898550725,0.4057971014492754,209.32931518554688,0.9077555537223816,208.2969512939453,0
google_robot_move_near__seed095__step071,google_robot_move_near,95,71,late,exploration,standard_shr,46,1.0,0.3695652173913043,3,0.021739130434782608,0.5869565217391305,199.98159790039062,0.8877155184745789,158.29922485351562,0
google_robot_move_near__seed095__step071,google_robot_move_near,95,71,late,exploration,prompt_v1,46,0.3695652173913043,1.0,12,0.10869565217391304,0.4782608695652174,155.50308227539062,0.8379992842674255,130.20370483398438,0
google_robot_move_near__seed095__step071,google_robot_move_near,95,71,late,exploration,prompt_single,46,0.5217391304347826,0.6956521739130435,8,0.08695652173913043,0.6521739130434783,169.5807647705078,0.9204543828964233,150.45703125,0
google_robot_move_near__seed095__step071,google_robot_move_near,95,71,late,exploration,prompt_sparse,46,0.5434782608695652,0.7608695652173914,8,0.08695652173913043,0.6304347826086957,172.8594970703125,0.9461091756820679,149.9978790283203,0
google_robot_move_near__seed098__step008,google_robot_move_near,98,8,early,exploration,standard_shr,59,1.0,0.5254237288135594,2,0.0,0.6271186440677966,226.17958068847656,1.0410281419754028,306.4913330078125,3
google_robot_move_near__seed098__step008,google_robot_move_near,98,8,early,exploration,prompt_v1,59,0.5254237288135594,1.0,21,0.2033898305084746,0.288135593220339,164.1215057373047,0.8417701721191406,177.0064239501953,2
google_robot_move_near__seed098__step008,google_robot_move_near,98,8,early,exploration,prompt_single,59,0.7796610169491526,0.6779661016949152,7,0.05084745762711865,0.5423728813559322,194.22866821289062,0.9294427633285522,280.6081237792969,3
google_robot_move_near__seed098__step008,google_robot_move_near,98,8,early,exploration,prompt_sparse,59,0.7457627118644068,0.711864406779661,11,0.1016949152542373,0.4745762711864407,191.93409729003906,0.9283057451248169,301.4414367675781,2
google_robot_move_near__seed098__step040,google_robot_move_near,98,40,middle,exploration,standard_shr,91,1.0,0.4175824175824176,2,0.0,0.9340659340659341,266.5672607421875,1.004063606262207,175.8713836669922,2
google_robot_move_near__seed098__step040,google_robot_move_near,98,40,middle,exploration,prompt_v1,91,0.4175824175824176,1.0,19,0.10989010989010989,0.4945054945054945,230.74998474121094,0.8848934769630432,165.16738891601562,0
google_robot_move_near__seed098__step040,google_robot_move_near,98,40,middle,exploration,prompt_single,91,0.4065934065934066,0.7912087912087912,12,0.08791208791208792,0.6263736263736264,238.1359405517578,0.9594071507453918,176.3405303955078,0
google_robot_move_near__seed098__step040,google_robot_move_near,98,40,middle,exploration,prompt_sparse,91,0.4175824175824176,0.8351648351648352,13,0.0989010989010989,0.6043956043956044,237.29090881347656,0.9447837471961975,172.48216247558594,0
