task,seed,category,phase,control_step,sector,removed_count,progress,delta_vs_locked_full,mean_action_l2,mean_residual_norm,final_success
open_drawer,55,harm,late,90,r0_c0,2,3.7880234973058924e-14,0.0,0.007739735366667016,133.55675582885743,0
open_drawer,55,harm,late,90,r0_c1,1,3.7880234973058924e-14,0.0,0.007739735366667016,133.50109939575196,0
open_drawer,55,harm,late,90,r1_c0,28,3.7880234973058924e-14,0.0,0.007739735366667016,131.8615364074707,0
open_drawer,55,harm,late,90,r1_c1,4,3.7880234973058924e-14,0.0,0.007739735366667016,133.92882919311523,0
open_drawer,55,harm,late,90,r2_c0,12,9.940561828541972e-15,-2.7939673144516952e-14,0.008065180770614563,171.64756546020507,0
open_drawer,55,harm,late,90,r2_c1,1,3.7880234973058924e-14,0.0,0.007739735366667016,134.02244338989257,0
open_drawer,71,harm,approach,0,r0_c0,1,0.20385810436210938,0.02722032531789642,0.09151210316579791,198.86301956176757,0
open_drawer,71,harm,approach,0,r0_c1,5,0.2348208726335751,0.058183093589362134,0.06361387439681093,210.13898010253905,0
open_drawer,71,harm,approach,0,r1_c0,23,0.1955919645830697,0.01895418553885675,0.10927882980169183,156.7612916946411,0
open_drawer,71,harm,approach,0,r1_c1,9,0.23857779271039126,0.061940013666178295,0.07260775596540198,191.9214179992676,0
open_drawer,71,harm,approach,0,r2_c0,12,0.2366623420721673,0.060024563027954336,0.08213627001281715,174.1086025238037,0
open_drawer,71,harm,approach,0,r2_c1,1,0.17663777904421296,0.0,0.10698411492987307,201.53043365478516,0
open_drawer,71,harm,contact_or_motion,56,r0_c0,1,4.31600013974659e-14,0.0,0.07057922518374585,248.65634765625,0
open_drawer,71,harm,contact_or_motion,56,r0_c1,1,4.31600013974659e-14,0.0,0.05952484781990597,246.40979919433593,0
open_drawer,71,harm,contact_or_motion,56,r1_c0,23,4.31600013974659e-14,0.0,0.08863247304928472,221.44837341308593,0
open_drawer,71,harm,contact_or_motion,56,r1_c1,5,4.31600013974659e-14,0.0,0.06764164059491139,254.89324645996095,0
open_drawer,71,harm,contact_or_motion,56,r2_c0,9,4.31600013974659e-14,0.0,0.06846849019749936,232.0793029785156,0
open_drawer,71,harm,contact_or_motion,56,r2_c1,1,4.31600013974659e-14,0.0,0.05900955320503658,251.70653228759767,0
open_drawer,71,harm,late,90,r0_c0,2,3.7880234973058924e-14,0.0,0.007739735366667016,133.55675582885743,0
open_drawer,71,harm,late,90,r0_c1,1,3.7880234973058924e-14,0.0,0.007739735366667016,133.50109939575196,0
open_drawer,71,harm,late,90,r1_c0,28,3.7880234973058924e-14,0.0,0.007739735366667016,131.8615364074707,0
open_drawer,71,harm,late,90,r1_c1,4,3.7880234973058924e-14,0.0,0.007739735366667016,133.92882919311523,0
open_drawer,71,harm,late,90,r2_c0,12,9.940561828541972e-15,-2.7939673144516952e-14,0.008065180770614563,171.64756546020507,0
open_drawer,71,harm,late,90,r2_c1,1,3.7880234973058924e-14,0.0,0.007739735366667016,134.02244338989257,0
open_drawer,94,harm,approach,0,r0_c0,2,0.19987238927806614,0.0,0.145306804905818,222.13570404052734,0
open_drawer,94,harm,approach,0,r0_c1,5,0.17914873344040466,-0.020723655837661475,0.12437692791073418,217.23865814208983,0
open_drawer,94,harm,approach,0,r1_c0,3,0.1800996312000864,-0.019772758077979735,0.13231243439206317,222.91607513427735,0
open_drawer,94,harm,approach,0,r1_c1,23,0.1876762579582262,-0.012196131319839931,0.07468327087187208,206.99061279296876,0
open_drawer,94,harm,approach,0,r2_c0,8,0.16100891467388448,-0.03886347460418166,0.09366906436344649,222.7890869140625,0
open_drawer,94,harm,approach,0,r2_c1,14,0.19987238927806614,0.0,0.145306804905818,220.33561248779296,0
open_drawer,94,harm,contact_or_motion,62,r0_c0,3,-0.007269985042512417,-0.027605200186371803,0.0770821871159811,233.85311889648438,0
open_drawer,94,harm,contact_or_motion,62,r0_c1,1,-0.007269985042512417,-0.027605200186371803,0.04760576081184382,240.0588806152344,0
open_drawer,94,harm,contact_or_motion,62,r1_c0,2,-0.007269985042512417,-0.027605200186371803,0.04760576081184382,240.1536651611328,0
